,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,hidden_dim,dropout_rate,learning_rate,seed,loss_function,gamma,k_fold,n_splits,batch_size,model_id,input_dim
0,,0.605555534362793,0.5097804430534596,[0.72849969 0.44790047 0.35294118],0.49969961201188906,[0.79649966 0.42352941 0.27906977],0.5421482495270927,[0.67119722 0.47524752 0.48      ],,0.6663455367088318,0.5845878357572601,[0.77638258 0.53354531 0.44383562],0.5717675275502133,[0.82627239 0.51950464 0.36952555],0.6120319732831404,[0.73217435 0.54836601 0.55555556],"(128, 128)",0.1,0.001,12,focal,2,True,5,64,0.3,768
0,,0.629118800163269,0.5207208520070433,[0.75079533 0.45326915 0.35809807],0.5107480659686264,[0.78841871 0.44106167 0.30276382],0.5403175418756451,[0.71659919 0.46617162 0.43818182],,0.6796724200248718,0.583562549087739,[0.79256966 0.52877343 0.42934456],0.575459618187532,[0.81205393 0.53209795 0.38222698],0.5964002061730042,[0.77399849 0.5254902  0.48971193],"(128, 128)",0.1,0.001,123,focal,2,True,5,64,0.3,768
0,,0.6210727691650391,0.5159096139904492,[0.7445122  0.44262964 0.360587  ],0.5060799695944415,[0.78723404 0.43815683 0.29284904],0.5408247256188893,[0.70618855 0.44719472 0.46909091],,0.6793513298034668,0.5887997541983582,[0.79069163 0.53240279 0.44330484],0.579179615762675,[0.8168144  0.54158215 0.3791423 ],0.6077750167282278,[0.76618796 0.52352941 0.53360768],"(128, 128)",0.1,0.0005,1,focal,2,True,5,64,0.4,768
0,,0.6180076599121094,0.5142014757095003,[0.73983491 0.44408946 0.35868006],0.5037480963729475,[0.7846952  0.43034056 0.29620853],0.5377059394776956,[0.69982649 0.45874587 0.45454545],,0.6806358098983765,0.5923811088905429,[0.79009434 0.54182754 0.44522145],0.5812380167205828,[0.82309582 0.53358682 0.38703141],0.6113231575208959,[0.75963719 0.5503268  0.52400549],"(128, 128)",0.1,0.0005,12,focal,2,True,5,64,0.4,768
0,,0.6400383114814758,0.5267211388113598,[0.76062238 0.45734882 0.36219222],0.5179701293314022,[0.78797272 0.44435798 0.32157969],0.5402581883405229,[0.735107   0.47112211 0.41454545],,0.6843288540840149,0.5850218796757388,[0.79606188 0.53097345 0.4280303 ],0.5790624054406264,[0.80815161 0.53254438 0.39649123],0.5929202956902926,[0.78432855 0.52941176 0.46502058],"(128, 128)",0.1,0.0005,123,focal,2,True,5,64,0.4,768
0,,0.6392720341682434,0.5218032351093155,[0.76115407 0.4524484  0.35180723],0.5142127804176814,[0.78352725 0.44400318 0.31510791],0.533142025018002,[0.74002313 0.46122112 0.39818182],,0.6905908584594727,0.590620967770289,[0.80213904 0.53254438 0.43717949],0.5856246912203591,[0.81081081 0.53571429 0.41034898],0.5969422062377764,[0.79365079 0.52941176 0.46776406],"(128, 128)",0.1,0.0001,1,focal,2,True,5,64,0.5,768
0,,0.6411877274513245,0.5209038974437027,[0.76435001 0.4433416  0.35502008],0.5142618615763209,[0.78035553 0.44444444 0.31798561],0.531016753497212,[0.74898785 0.44224422 0.40181818],,0.6931599378585815,0.5932491021003826,[0.80340145 0.53738318 0.43896268],0.5886177147313484,[0.80946292 0.54911323 0.407277  ],0.5998561290085308,[0.79743008 0.52614379 0.47599451],"(128, 128)",0.1,0.0001,12,focal,2,True,5,64,0.5,768
0,,0.6348658800125122,0.5181801648706301,[0.75803318 0.45119482 0.3453125 ],0.5100896754069936,[0.78441076 0.44311854 0.30273973],0.5315870100601732,[0.73337189 0.45957096 0.40181818],,0.6915542483329773,0.5936798493166081,[0.80245965 0.54080629 0.43777361],0.5869892891500871,[0.81626271 0.54240631 0.40229885],0.6028136906340039,[0.78911565 0.53921569 0.48010974],"(128, 128)",0.1,0.0001,123,focal,2,True,5,64,0.5,768
0,,0.6306513547897339,0.5167719729336221,[0.75692676 0.43496622 0.35842294],0.5087953746618491,[0.78502641 0.44550173 0.29585799],0.5367440590212867,[0.73076923 0.42491749 0.45454545],,0.6857739090919495,0.5867936994849527,[0.80051086 0.52354949 0.43632075],0.5807302116729901,[0.81170681 0.54785714 0.38262668],0.5994904408951509,[0.78961955 0.50130719 0.50754458],"(256, 256)",0.1,0.001,1,focal,2,True,5,64,0.6,768
0,,0.6065133810043335,0.5070080411488814,[0.73129676 0.44313262 0.34659474],0.49739525172077026,[0.79310345 0.42362679 0.27545552],0.5367403385798383,[0.67842684 0.46452145 0.46727273],,0.6761400103569031,0.5910780914356476,[0.78625248 0.53930412 0.44767767],0.5789560225937312,[0.82703003 0.5317662  0.37807183],0.6150209329273548,[0.74930713 0.54705882 0.54869684],"(256, 256)",0.1,0.001,12,focal,2,True,5,64,0.6,768
