,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,hidden_dim,dropout_rate,learning_rate,seed,loss_function,gamma,k_fold,n_splits,batch_size,model_id,input_dim
0,,0.7689206600189209,0.5314321363840423,[0.86055563 0.45436741 0.27937337],0.5039745451807848,[0.90950355 0.37540453 0.22701556],0.5850420770561012,[0.81660723 0.57539683 0.36312217],,0.7611604332923889,0.5306766807684385,[0.85380455 0.46343612 0.27478937],0.5027239027747611,[0.90847628 0.3753568  0.22433862],0.5884601004672815,[0.80533954 0.60552571 0.35451505],"(64, 64)",0.1,0.001,12,focal,2,True,5,64,0.3,768
0,,0.7929477691650391,0.5348312962117469,[0.87719184 0.45014849 0.27715356],0.5188020619090298,[0.90020776 0.39325426 0.26294416],0.5581998641138688,[0.85532348 0.52628968 0.29298643],,0.7866283059120178,0.5306633686190058,[0.87252803 0.4547919  0.26467017],0.5147148456744787,[0.898588   0.38908595 0.25647059],0.556182379565152,[0.847937   0.54719877 0.27341137],"(64, 64)",0.1,0.001,123,focal,2,True,5,64,0.3,768
0,,0.7807998061180115,0.5286101622465681,[0.86869887 0.44715111 0.26998051],0.5071335510169035,[0.90128697 0.38295615 0.23715753],0.5629786406836466,[0.83838512 0.53720238 0.31334842],,0.777249813079834,0.5302336137709435,[0.86566703 0.46199193 0.26304188],0.5081247005362188,[0.90201342 0.38776042 0.23460026],0.5676137228032977,[0.83213631 0.57137375 0.2993311 ],"(64, 64)",0.1,0.0005,1,focal,2,True,5,64,0.4,768
0,,0.7848849892616272,0.5354710024639239,[0.87148079 0.44921794 0.28571429],0.513875385407328,[0.90235254 0.38754948 0.25172414],0.5690648287673025,[0.84265155 0.53422619 0.33031674],,0.7769580483436584,0.5300692113552322,[0.86535786 0.46132383 0.26352595],0.5080196133793771,[0.90169128 0.3869961  0.23537147],0.5673867490052542,[0.83183912 0.57099002 0.2993311 ],"(64, 64)",0.1,0.0005,12,focal,2,True,5,64,0.4,768
0,,0.7887013554573059,0.5306988479311836,[0.87506541 0.43930886 0.27772228],0.5124199989652014,[0.89954276 0.38905891 0.24865832],0.5569429312733754,[0.85188487 0.50446429 0.31447964],,0.7864199280738831,0.5355872965086159,[0.87259358 0.45706908 0.27709924],0.5166010497995605,[0.90045845 0.39442897 0.25491573],0.5644248949929093,[0.84640151 0.54336147 0.30351171],"(64, 64)",0.1,0.0005,123,focal,2,True,5,64,0.4,768
0,,0.7919802069664001,0.5342017725894316,[0.87700849 0.44728296 0.27831386],0.5165195534612222,[0.90017431 0.39684979 0.25253456],0.5591202130085067,[0.85500509 0.51240079 0.30995475],,0.7854195237159729,0.5313559089275665,[0.8715697  0.46027925 0.26221877],0.5131300735654251,[0.89923093 0.39558621 0.24457308],0.5594789232080176,[0.84555946 0.55026861 0.2826087 ],"(64, 64)",0.1,0.0001,1,focal,2,True,5,64,0.5,768
0,,0.7903138995170593,0.536491696441794,[0.87584694 0.45063624 0.2829919 ],0.5165272797718711,[0.90112481 0.40401259 0.24444444],0.5657820006646458,[0.85194855 0.5094246  0.33597285],,0.7823767066001892,0.5329475811702725,[0.86964537 0.46086106 0.26833631],0.5117989231696142,[0.90013781 0.40073738 0.23452158],0.5656355187866092,[0.84115112 0.54221028 0.31354515],"(64, 64)",0.1,0.0001,12,focal,2,True,5,64,0.5,768
0,,0.793646514415741,0.5378838036418359,[0.87797551 0.45039983 0.28527607],0.5201180008314248,[0.901012   0.39908081 0.26026119],0.5628545200272898,[0.85608762 0.51686508 0.31561086],,0.7889208197593689,0.535146966162302,[0.87410805 0.46287647 0.26845638],0.5177833965649304,[0.90021521 0.3988343  0.25430067],0.5617244073106394,[0.84947249 0.5514198  0.28428094],"(64, 64)",0.1,0.0001,123,focal,2,True,5,64,0.5,768
0,,0.7962266206741333,0.5347229824799903,[0.87942431 0.44896248 0.27578216],0.5237516007092907,[0.89984674 0.38874773 0.28266033],0.5534630242825607,[0.8599083  0.53125    0.26923077],,0.7926722764968872,0.5343720861274694,[0.87671233 0.46331436 0.26308957],0.5223258444582751,[0.90030275 0.39402905 0.27264574],0.5568904839622272,[0.85432661 0.56216424 0.2541806 ],"(128, 128)",0.1,0.001,1,focal,2,True,5,64,0.6,768
0,,0.7740271091461182,0.5289815883432191,[0.86439604 0.45232989 0.27021884],0.504509303399448,[0.90772788 0.3726309  0.23316913],0.5738921764437931,[0.82501274 0.57539683 0.32126697],,0.7678712606430054,0.5313063430538949,[0.85904851 0.45481394 0.28005658],0.5061596360246582,[0.9061727  0.36965915 0.24264706],0.5795436474333752,[0.81658329 0.59094398 0.33110368],"(128, 128)",0.1,0.001,12,focal,2,True,5,64,0.6,768
0,,0.7778972387313843,0.5324154167318881,[0.86645448 0.45144142 0.27935035],0.5082038965284543,[0.90379029 0.384      0.2368214 ],0.5733992612157786,[0.832081   0.54761905 0.34049774],,0.7694135308265686,0.5281474724710856,[0.86049226 0.45216593 0.27178423],0.5036608523710423,[0.90314678 0.37611408 0.2317217 ],0.5723497961283457,[0.82168508 0.56676899 0.32859532],"(128, 128)",0.1,0.001,123,focal,2,True,5,64,0.6,768
0,,0.7967641353607178,0.5333886129939073,[0.88030387 0.44076655 0.27909542],0.521044416265398,[0.89794026 0.39285714 0.27233584],0.5505100466631436,[0.86334692 0.50198413 0.2861991 ],,0.7913801074028015,0.5361716554153666,[0.87590647 0.46480915 0.26779935],0.5201633305499728,[0.90058602 0.40049958 0.25940439],0.5610071655636996,[0.85254346 0.55372218 0.27675585],"(128, 128)",0.1,0.0005,1,focal,2,True,5,64,0.7,768
0,,0.7728445529937744,0.5330161629940144,[0.86280009 0.4504011  0.2858473 ],0.5072515997387166,[0.90698491 0.37189015 0.24287975],0.5803126445291423,[0.82272033 0.57093254 0.34728507],,0.7653703689575195,0.532044852947382,[0.85674693 0.46074985 0.27863777],0.505524875625652,[0.9072987  0.37257224 0.23670368],0.5845889516403621,[0.81153103 0.60360706 0.33862876],"(128, 128)",0.1,0.0005,12,focal,2,True,5,64,0.7,768
0,,0.7769834399223328,0.5264405698062771,[0.86690052 0.44693446 0.26548673],0.5033081096136319,[0.90243902 0.38946205 0.21802326],0.5659090297408373,[0.83405502 0.52430556 0.33936652],,0.7697052955627441,0.5277182834158943,[0.86069793 0.44954855 0.27290837],0.5033040965306684,[0.90080139 0.38278932 0.22632159],0.5707237414875928,[0.82401308 0.54451266 0.34364548],"(128, 128)",0.1,0.0005,123,focal,2,True,5,64,0.7,768
0,,0.7837561964988708,0.5322165649868313,[0.87111551 0.45233095 0.27320324],0.5102571771427689,[0.90273888 0.39220685 0.2358258 ],0.5668398430012181,[0.84163271 0.53422619 0.32466063],,0.7785419821739197,0.5323336971156938,[0.86657405 0.46285172 0.26757532],0.5098151991997345,[0.90160073 0.39354839 0.23429648],0.5692735123105671,[0.83416712 0.56178051 0.31187291],"(128, 128)",0.1,0.0001,1,focal,2,True,5,64,0.8,768
0,,0.7937540411949158,0.5347506771278638,[0.87818715 0.44704353 0.27902134],0.5183493035848367,[0.89983964 0.39677047 0.2584378 ],0.5575414662383887,[0.85755222 0.51190476 0.30316742],,0.7874202728271484,0.5326444655233716,[0.87280422 0.46381473 0.26131444],0.5151168146750531,[0.89928549 0.39922481 0.24684015],0.5595894515074727,[0.84783793 0.55333845 0.27759197],"(128, 128)",0.1,0.0001,12,focal,2,True,5,64,0.8,768
0,,0.7885938286781311,0.5330625980911499,[0.87447164 0.44732922 0.27738693],0.5139941139278178,[0.90070874 0.39172568 0.24954792],0.5610887920855782,[0.84971982 0.52132937 0.31221719],,0.7858363389968872,0.5354891012652337,[0.87167417 0.46684688 0.26794626],0.5159016209427721,[0.90142336 0.39858811 0.2476934 ],0.5663157639215396,[0.84382585 0.56331543 0.29180602],"(128, 128)",0.1,0.0001,123,focal,2,True,5,64,0.8,768
0,,0.7904214262962341,0.5339226871571331,[0.87557272 0.44375259 0.28244275],0.5182771866642676,[0.90068678 0.3815132  0.27263158],0.5583551846334277,[0.85182119 0.53025794 0.29298643],,0.7884206771850586,0.5316550060388172,[0.87404123 0.45637795 0.26454584],0.5173237212749057,[0.90007348 0.38701923 0.26487846],0.5565703635166678,[0.84947249 0.55602456 0.26421405],"(256, 256)",0.1,0.001,1,focal,2,True,5,64,0.9,768
