,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,num_layers,bidirectional,hidden_dim,dropout_rate,learning_rate,seed,loss_function,gamma,k_fold,n_splits,batch_size,model_id
0,,0.8026768565177917,0.5318132977776494,[0.88444588 0.46333046 0.24766355],0.5221325941885623,[0.90043547 0.40992366 0.25603865],0.5471904545482652,[0.86901426 0.5327381  0.239819  ],,0.7956733703613281,0.53202989860099,[0.87908695 0.45888    0.25812274],0.524202235928534,[0.89869095 0.3935236  0.28039216],0.5499063406350712,[0.86031998 0.55026861 0.23913043],20,1,True,300,0.1,0.001,12,focal,2,True,5,64,3
0,,0.7943453192710876,0.5329821069258501,[0.87821567 0.47515948 0.24557117],0.5215412965615831,[0.90839799 0.38929363 0.26693227],0.5623243700887839,[0.84997453 0.60962302 0.22737557],,0.7913801074028015,0.5353984575229012,[0.87587319 0.47344145 0.25688073],0.5257087107403989,[0.90593902 0.38663426 0.28455285],0.5641222593598065,[0.84773887 0.6105142  0.23411371],20,1,True,300,0.1,0.001,123,focal,2,True,5,64,3
0,,0.8313803672790527,0.517910465033816,[0.90394774 0.44557477 0.20420889],0.5577463145144025,[0.88771564 0.45720251 0.3283208 ],0.5011661227574745,[0.92078451 0.43452381 0.14819005],,0.8237672448158264,0.52375828842147,[0.89860388 0.44316279 0.2295082 ],0.5667441658191793,[0.88730082 0.43011918 0.3828125 ],0.5103668260020938,[0.91019862 0.45702226 0.1638796 ],20,1,True,300,0.1,0.0005,1,focal,2,True,5,64,4
0,,0.8144485354423523,0.535464059711935,[0.89324242 0.46197051 0.25117925],0.5325741638904644,[0.89810106 0.43730616 0.26231527],0.5396565422738971,[0.88843607 0.48958333 0.24095023],,0.8063023686408997,0.531406662406544,[0.8867091  0.45637349 0.2511374 ],0.5294499169244954,[0.89369088 0.41920977 0.2754491 ],0.5371240814973862,[0.87983555 0.50076746 0.23076923],20,1,True,300,0.1,0.0005,12,focal,2,True,5,64,4
0,,0.8171361088752747,0.5311120088915605,[0.89424612 0.46530612 0.23378378],0.5385544161984251,[0.89682336 0.42857143 0.29026846],0.5321045254576614,[0.89168365 0.50892857 0.19570136],,0.812471330165863,0.5293196248872823,[0.89061917 0.46571623 0.23162348],0.5424131742830861,[0.8946027  0.41752891 0.31510791],0.5320862290883116,[0.88667096 0.52647736 0.18311037],20,1,True,300,0.1,0.0005,123,focal,2,True,5,64,4
0,,0.8138572573661804,0.4968257704035853,[0.89348252 0.41874706 0.17824773],0.5179568473383881,[0.88703402 0.39865471 0.26818182],0.4914939521118913,[0.90002547 0.44097222 0.13348416],,0.8070526719093323,0.5016019814520555,[0.88863597 0.42330031 0.19286967],0.529877727518608,[0.88777932 0.38146552 0.32038835],0.5009651448719673,[0.88949428 0.47544129 0.13795987],20,1,True,300,0.1,0.0001,1,focal,2,True,5,64,5
0,,0.810793399810791,0.4949131644065099,[0.89123186 0.42433767 0.16916996],0.5191326311761145,[0.8889452 0.3876128 0.2808399],0.49444034491025146,[0.89353031 0.46875    0.12104072],,0.8065107464790344,0.50002596789109,[0.88787106 0.42668919 0.18551765],0.531670539204764,[0.88758539 0.38111044 0.32631579],0.500802128391048,[0.88815692 0.48465081 0.12959866],20,1,True,300,0.1,0.0001,12,focal,2,True,5,64,5
0,,0.8098796010017395,0.4927158047033647,[0.8905077  0.43012182 0.1575179 ],0.5145620672903229,[0.88971523 0.38855542 0.26541555],0.49497978494618544,[0.89130158 0.48164683 0.11199095],,0.8029677867889404,0.49717399847303984,[0.88597778 0.42372604 0.18181818],0.5298044763321005,[0.88927146 0.3697455  0.33039648],0.5014297224087435,[0.88270841 0.4961627  0.12541806],20,1,True,300,0.1,0.0001,123,focal,2,True,5,64,5
0,,0.8140722513198853,0.537065592042358,[0.892359   0.46988506 0.24895272],0.5336324399979075,[0.89872764 0.43787489 0.26429479],0.5427728472381764,[0.88607998 0.50694444 0.23529412],,0.8105956315994263,0.5433582930807915,[0.8895     0.46868548 0.2718894 ],0.5418963857936164,[0.89798597 0.42482845 0.30287474],0.5501561652452506,[0.88117292 0.52264006 0.24665552],20,1,True,400,0.1,0.001,1,focal,2,True,5,64,6
0,,0.8054181933403015,0.527717158190898,[0.88729495 0.46320346 0.23265306],0.519313353641601,[0.89646432 0.44957983 0.21189591],0.5379694605809721,[0.87831126 0.47767857 0.25791855],,0.7992580533027649,0.5315917010976355,[0.8821077  0.45851064 0.25415677],0.5207534326918152,[0.89473684 0.42617007 0.24135338],0.5447958185968672,[0.86983011 0.4961627  0.26839465],20,1,True,400,0.1,0.001,12,focal,2,True,5,64,6
