,loss,accuracy,f1,f1_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,k,num_layers,bidirectional,hidden_dim,dropout_rate,learning_rate,seed,gamma,k_fold,model_id
0,focal,0.5776951909065247,0.42245513894943937,[0.70977444 0.28582317 0.27176781],,0.5776951909065247,0.42245513894943937,[0.70977444 0.28582317 0.27176781],10,1,True,200,0.1,0.0001,1,2,True,7
0,focal,0.575018584728241,0.43619263088824445,[0.70124162 0.32880629 0.27852998],,0.575018584728241,0.43619263088824445,[0.70124162 0.32880629 0.27852998],10,1,True,200,0.1,0.0001,12,2,True,7
0,focal,0.5964312553405762,0.43419564413159356,[0.72309655 0.32513761 0.25435276],,0.5964312553405762,0.43419564413159356,[0.72309655 0.32513761 0.25435276],10,1,True,200,0.1,0.0001,123,2,True,7
0,focal,0.5834944248199463,0.4431181185958226,[0.70875808 0.33857992 0.28201635],,0.5834944248199463,0.4431181185958226,[0.70875808 0.33857992 0.28201635],10,1,True,200,0.1,0.0001,1234,2,True,7
0,focal,0.5759108066558838,0.4445993748406663,[0.70234489 0.35207987 0.27937337],,0.5759108066558838,0.4445993748406663,[0.70234489 0.35207987 0.27937337],10,1,True,200,0.1,0.0005,0,2,True,8
0,focal,0.5882527828216553,0.4437172923794194,[0.71497163 0.33711048 0.27906977],,0.5882527828216553,0.4437172923794194,[0.71497163 0.33711048 0.27906977],10,1,True,200,0.1,0.0005,1,2,True,8
0,focal,0.5894423723220825,0.4116692844798679,[0.72179029 0.28972653 0.22349103],,0.5894423723220825,0.4116692844798679,[0.72179029 0.28972653 0.22349103],10,1,True,200,0.1,0.0005,12,2,True,8
0,focal,0.5968773365020752,0.42708189896000365,[0.72805634 0.28831683 0.26487252],,0.5968773365020752,0.42708189896000365,[0.72805634 0.28831683 0.26487252],10,1,True,200,0.1,0.0005,123,2,True,8
0,focal,0.5799256563186646,0.4340366370665934,[0.7092011  0.34045439 0.25245442],,0.5799256563186646,0.4340366370665934,[0.7092011  0.34045439 0.25245442],10,1,True,200,0.1,0.0005,1234,2,True,8
0,focal,0.5715985298156738,0.4261925345098159,[0.70214898 0.34326425 0.23316437],,0.5715985298156738,0.4261925345098159,[0.70214898 0.34326425 0.23316437],10,1,True,300,0.5,0.001,0,2,True,9
