,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,shift,window_size,n,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,include_features_in_input,embedding_dim,num_features,log_signature,num_heads,num_layers,ffn_hidden_dim,dropout_rate,learning_rate,seed,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,,0.6413792967796326,0.5174716442206042,[0.76653812 0.45495312 0.33092369],0.5109618591656437,[0.78684531 0.44963739 0.29640288],0.5273980804673873,[0.74725275 0.46039604 0.37454545],,0.6634553670883179,0.5541029103155284,[0.78480691 0.49118136 0.38632046],0.5502016642020305,[0.79144248 0.50033898 0.35882353],0.5596719895091096,[0.77828168 0.48235294 0.41838134],35,3,5,11,15,3,gaussian_random_projection,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,"(512, 512)",0.1,0.001,123,focal,2,True,5,Conv1d,,concatenation,64,6
0,,0.6436781883239746,0.5075320220884876,[0.77471731 0.41952055 0.32835821],0.5048388382791383,[0.77674419 0.43594306 0.30182927],0.5123304707567344,[0.77270098 0.40429043 0.36      ],,0.68416827917099,0.5822038813924021,[0.79675209 0.5236509  0.42620865],0.5779370082441186,[0.80245336 0.53396739 0.39739027],0.5881301217331926,[0.79113127 0.51372549 0.45953361],35,3,5,11,15,3,gaussian_random_projection,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,"(512, 512)",0.1,0.0001,1,focal,2,True,5,Conv1d,,concatenation,64,7
0,,0.6298850774765015,0.500348370146904,[0.76236749 0.41031941 0.32835821],0.4952303441750674,[0.77654469 0.40731707 0.30182927],0.5073550021283215,[0.74869867 0.41336634 0.36      ],,0.6782273650169373,0.5776494708026835,[0.7926078  0.5237785  0.41656211],0.5712118538316527,[0.80774261 0.52207792 0.38381503],0.5863127692778072,[0.77802973 0.5254902  0.45541838],35,3,5,11,15,3,gaussian_random_projection,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,"(512, 512)",0.1,0.0001,12,focal,2,True,5,Conv1d,,concatenation,64,7
0,,0.6226053833961487,0.4984886459372942,[0.7571323  0.39152982 0.34680382],0.49216248292495973,[0.7744179  0.41107078 0.29099877],0.5144849296959771,[0.7406015  0.37376238 0.42909091],,0.6734104156494141,0.5745193225318724,[0.79169337 0.5045045  0.42736009],0.5687267354286587,[0.80584551 0.53687316 0.36346154],0.5907884141310845,[0.77802973 0.47581699 0.51851852],35,3,5,11,15,3,gaussian_random_projection,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,"(512, 512)",0.1,0.0001,123,focal,2,True,5,Conv1d,,concatenation,64,7
0,,0.6220306754112244,0.5141021188970526,[0.74306393 0.43912338 0.36011905],0.504400672943111,[0.7763075  0.43210863 0.30478589],0.5329734147503818,[0.71255061 0.44636964 0.44      ],,0.6676300764083862,0.5764652464353365,[0.7803168  0.51216305 0.43691589],0.5668873943939173,[0.80498259 0.51521164 0.38046796],0.5930998462485132,[0.75711766 0.50915033 0.51303155],35,3,5,11,15,3,gaussian_random_projection,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,"(512, 512)",0.1,0.0005,1,focal,2,True,5,Conv1d,,concatenation,64,8
0,,0.6229885220527649,0.5105647400277439,[0.75019029 0.44470868 0.33679525],0.5014690199146771,[0.79202829 0.42791762 0.28446115],0.5293830557144784,[0.71255061 0.46287129 0.41272727],,0.6615285873413086,0.5628262588947797,[0.77967859 0.50522876 0.40357143],0.5548237296392994,[0.80277555 0.50522876 0.35646688],0.5760409513599679,[0.75787352 0.50522876 0.46502058],35,3,5,11,15,3,gaussian_random_projection,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,"(512, 512)",0.1,0.0005,12,focal,2,True,5,Conv1d,,concatenation,64,8
0,,0.6398467421531677,0.509618828749327,[0.7639349  0.41998232 0.34493927],0.5081018224155129,[0.76097561 0.45238095 0.31094891],0.5153680706416506,[0.76691729 0.39191419 0.38727273],,0.6769428253173828,0.5628525909496856,[0.79677619 0.48654467 0.40523691],0.5650772914979685,[0.78442383 0.53937947 0.37142857],0.5661590836608992,[0.80952381 0.44313725 0.44581619],35,3,5,11,15,3,gaussian_random_projection,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,"(512, 512)",0.1,0.0005,123,focal,2,True,5,Conv1d,,concatenation,64,8
0,,0.6388888955116272,0.5028042074109427,[0.76689336 0.42659758 0.31492168],0.5009989426984212,[0.7674486  0.44746377 0.28808446],0.5070674701940986,[0.76633892 0.40759076 0.34727273],,0.6693962812423706,0.553762930242396,[0.78938185 0.4869863  0.38492063],0.5547231327853516,[0.7810111  0.51151079 0.37164751],0.5539389418318769,[0.79793399 0.46470588 0.39917695],35,3,5,11,15,3,gaussian_random_projection,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,"(512, 512)",0.2,0.001,1,focal,2,True,5,Conv1d,,concatenation,64,9
0,,0.6429118514060974,0.5164462857692803,[0.76940971 0.42397138 0.35595777],0.5135661822888407,[0.77368421 0.46289062 0.30412371],0.5284540680788727,[0.76518219 0.39108911 0.42909091],,0.6647399067878723,0.5535936701651623,[0.78765835 0.47595118 0.39717148],0.5534075073739231,[0.78421578 0.52786624 0.3481405 ],0.5622472308539329,[0.79113127 0.43333333 0.46227709],35,3,5,11,15,3,gaussian_random_projection,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,"(512, 512)",0.2,0.001,12,focal,2,True,5,Conv1d,,concatenation,64,9
0,,0.644444465637207,0.5154051100586123,[0.76976846 0.43965517 0.3367917 ],0.5119105769531956,[0.77530067 0.46028881 0.30014225],0.5229143585266566,[0.76431463 0.42079208 0.38363636],,0.6700385212898254,0.5576871460994303,[0.79026217 0.48355493 0.39924433],0.5575290200820637,[0.78322197 0.52033133 0.36903376],0.5613021065765126,[0.79743008 0.45163399 0.43484225],35,3,5,11,15,3,gaussian_random_projection,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,"(512, 512)",0.2,0.001,123,focal,2,True,5,Conv1d,,concatenation,64,9
