,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,shift,window_size,n,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,include_features_in_input,embedding_dim,num_features,log_signature,num_heads,num_layers,ffn_hidden_dim,dropout_rate,learning_rate,seed,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,,0.6226053833961487,0.5173609332813863,[0.74762634 0.44302789 0.36142857],0.5068649075658126,[0.79459635 0.42835131 0.29764706],0.5415484127938531,[0.70589936 0.45874587 0.46      ],,0.6570327281951904,0.5626343744914725,[0.77450723 0.51270505 0.40069085],0.5531269869348581,[0.80939302 0.50474984 0.3452381 ],0.5802618989982825,[0.74250441 0.52091503 0.47736626],20,3,5,6,15,3,umap,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,"(256, 256)",0.2,0.001,12,focal,2,True,5,Conv1d,,concatenation,64,3
0,,0.6273946166038513,0.5137644481234739,[0.7550467  0.43993232 0.34631433],0.5066148695865678,[0.78805031 0.45138889 0.28040541],0.5354888444310018,[0.72469636 0.4290429  0.45272727],,0.6541425585746765,0.5535664163991609,[0.77749097 0.48164666 0.40156163],0.5474137744716018,[0.79703625 0.50685921 0.33834586],0.5705106734051645,[0.75888133 0.45882353 0.49382716],20,3,5,6,15,3,umap,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,"(256, 256)",0.2,0.001,123,focal,2,True,5,Conv1d,,concatenation,64,3
0,,0.601915717124939,0.4281919294108736,[0.74634831 0.32632031 0.21190716],0.4346173325379546,[0.7255598  0.34019696 0.23809524],0.42426788659201375,[0.76836322 0.31353135 0.19090909],,0.6351959109306335,0.49327085595782183,[0.76589525 0.42862105 0.28529627],0.5014510193594294,[0.74133459 0.45737583 0.30564263],0.4876322545479097,[0.79213908 0.40326797 0.26748971],20,3,5,6,15,3,umap,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,"(256, 256)",0.2,0.0001,1,focal,2,True,5,Conv1d,,concatenation,64,4
0,,0.5936781764030457,0.4419344754469003,[0.73774113 0.36627242 0.22178988],0.44357867372686527,[0.75157516 0.34066714 0.23849372],0.44257316766957205,[0.72440717 0.3960396  0.20727273],,0.6393705606460571,0.5261116124398705,[0.76539101 0.46328396 0.34965986],0.5240055340181718,[0.77783559 0.4473524  0.34682861],0.5287560840522766,[0.75333837 0.48039216 0.35253772],20,3,5,6,15,3,umap,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,"(256, 256)",0.2,0.0001,12,focal,2,True,5,Conv1d,,concatenation,64,4
0,,0.6147509813308716,0.46285732437651256,[0.75965852 0.36526946 0.263644  ],0.4614522613320549,[0.76020851 0.37921847 0.2449298 ],0.4656246960728461,[0.75910931 0.35231023 0.28545455],,0.641939640045166,0.5090984513589474,[0.77600889 0.43170559 0.31958088],0.5123219732482669,[0.7605225  0.47067901 0.30576441],0.508512321252232,[0.79213908 0.39869281 0.33470508],20,3,5,6,15,3,umap,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,"(256, 256)",0.2,0.0001,123,focal,2,True,5,Conv1d,,concatenation,64,4
0,,0.6463601589202881,0.5206625094800509,[0.77261399 0.44348576 0.34588778],0.515954979872638,[0.78352661 0.46473779 0.29960053],0.5317281583566107,[0.76200116 0.42409241 0.40909091],,0.6692357063293457,0.5610681140381257,[0.78778665 0.50615595 0.38926174],0.5578999023821526,[0.79230377 0.53084648 0.35054945],0.5681888667675575,[0.78332074 0.48366013 0.43758573],20,3,5,6,15,3,umap,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,"(256, 256)",0.2,0.0005,1,focal,2,True,5,Conv1d,,concatenation,64,5
0,,0.6293103694915771,0.5091263974072913,[0.75816993 0.42721792 0.34199134],0.5032714395203545,[0.77947465 0.44684685 0.28349282],0.5260496194211671,[0.73799884 0.40924092 0.43090909],,0.6751766204833984,0.5756433468142609,[0.79064446 0.5050717  0.43121387],0.5712460115377859,[0.79784505 0.54326561 0.37262737],0.5890426403757663,[0.78357269 0.47189542 0.51165981],20,3,5,6,15,3,umap,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,"(256, 256)",0.2,0.0005,12,focal,2,True,5,Conv1d,,concatenation,64,5
0,,0.632758617401123,0.5104860842080238,[0.76254081 0.42730721 0.34161023],0.5037744811862643,[0.78323171 0.43669251 0.29139923],0.524653028055842,[0.74291498 0.41831683 0.41272727],,0.6639370322227478,0.5603089322678486,[0.78267516 0.49588477 0.40236686],0.5556639061841037,[0.79154857 0.52164502 0.35379813],0.5709799420454053,[0.77399849 0.47254902 0.46639232],20,3,5,6,15,3,umap,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,"(256, 256)",0.2,0.0005,123,focal,2,True,5,Conv1d,,concatenation,64,5
0,,0.6371647715568542,0.5127952834086912,[0.76461945 0.43660714 0.33715925],0.5104324530073835,[0.77718041 0.47568093 0.27843602],0.5277320473516408,[0.75245807 0.40346535 0.42727273],,0.6602440476417542,0.5505860679135887,[0.78621908 0.46732384 0.39821528],0.5508333484222572,[0.78761062 0.52936311 0.33552632],0.5642816797500894,[0.78483245 0.41830065 0.48971193],20,3,5,6,15,3,umap,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,"(512, 512)",0.1,0.001,1,focal,2,True,5,Conv1d,,concatenation,64,6
0,,0.6195402145385742,0.5045973947670681,[0.75188651 0.41783439 0.34407128],0.49762477067916766,[0.78630051 0.43044619 0.27612761],0.5275542730675612,[0.72035859 0.40594059 0.45636364],,0.6587989926338196,0.5559932052865767,[0.78175979 0.48824343 0.39797639],0.5509766942453336,[0.79743187 0.51835536 0.33714286],0.5712421594152064,[0.76669186 0.46143791 0.48559671],20,3,5,6,15,3,umap,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,"(512, 512)",0.1,0.001,12,focal,2,True,5,Conv1d,,concatenation,64,6
0,,0.6285440325737,0.5096045562813588,[0.75686216 0.4378554  0.33409611],0.5017351588495289,[0.78622624 0.4312     0.28777924],0.5241712609664668,[0.72961249 0.44471947 0.39818182],,0.6570327281951904,0.5524789061973203,[0.78108038 0.48878778 0.38756856],0.5455301785935552,[0.80180419 0.48610213 0.34868421],0.5630393721274518,[0.76140086 0.49150327 0.43621399],20,3,5,6,15,3,umap,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,"(512, 512)",0.1,0.001,123,focal,2,True,5,Conv1d,,concatenation,64,6
