,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,include_features_in_input,embedding_dim,num_features,log_signature,num_heads,num_layers,ffn_hidden_dim,dropout_rate,learning_rate,seed,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,,0.6611999273300171,0.5464851529281306,[0.78182112 0.48773842 0.36989592],0.5445809404333205,[0.78397665 0.52441406 0.32535211],0.5547020777750828,[0.77967742 0.45585739 0.42857143],,0.6597484350204468,0.5492580330176015,[0.78104172 0.48589126 0.38084112],0.5452702534572763,[0.7906047  0.51457726 0.3306288 ],0.5603259367730036,[0.77170732 0.46023468 0.44903581],80,15,3,umap,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,"(512, 512)",0.1,0.001,123,focal,2,True,5,Conv1d,,concatenation,64,6
0,,0.6697114109992981,0.5628149169165206,[0.7828233  0.5195345  0.38608696],0.5570515792503278,[0.79885829 0.50895765 0.36333879],0.5699511556436127,[0.76741935 0.53056027 0.41187384],,0.6526729464530945,0.5459831181412637,[0.76754992 0.51352211 0.35687732],0.5389910294355859,[0.791095   0.50155376 0.32432432],0.5560452292768426,[0.74536585 0.52607562 0.39669421],80,15,3,umap,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,"(512, 512)",0.1,0.0001,1,focal,2,True,5,Conv1d,,concatenation,64,7
0,,0.6651442646980286,0.5545820645840521,[0.77636719 0.51406972 0.37330929],0.5517982052269561,[0.78350854 0.50872818 0.36315789],0.5576413278693172,[0.76935484 0.51952462 0.38404453],,0.6534591317176819,0.5422152835162387,[0.77245658 0.48950597 0.3646833 ],0.537192571495401,[0.78611111 0.48496481 0.34050179],0.5486544206041368,[0.75926829 0.49413299 0.39256198],80,15,3,umap,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,"(512, 512)",0.1,0.0001,12,focal,2,True,5,Conv1d,,concatenation,64,7
0,,0.6699190139770508,0.5584858456532328,[0.78300955 0.5237329  0.36871508],0.5557987943295004,[0.7995965  0.49770642 0.37009346],0.5623584306388091,[0.76709677 0.55263158 0.36734694],,0.6625786423683167,0.5531617798371825,[0.77793138 0.51605088 0.36550308],0.549200961970716,[0.80243713 0.48190045 0.36326531],0.5593524449419072,[0.75487805 0.55541069 0.3677686 ],80,15,3,umap,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,"(512, 512)",0.1,0.0001,123,focal,2,True,5,Conv1d,,concatenation,64,7
0,,0.6800913214683533,0.5807430274857098,[0.78783851 0.55048178 0.40390879],0.5718769122001497,[0.81226447 0.54342432 0.35994194],0.5942249948289241,[0.76483871 0.55772496 0.46011132],,0.680031418800354,0.5791877968235747,[0.79041766 0.54450942 0.40263631],0.5708789890814374,[0.8135812  0.54274611 0.35630965],0.5925435756571839,[0.76853659 0.54628422 0.46280992],80,15,3,umap,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,"(512, 512)",0.1,0.0005,1,focal,2,True,5,Conv1d,,concatenation,64,8
0,,0.6690886616706848,0.5771110037063747,[0.7776847  0.52884211 0.4248062 ],0.5661614989709655,[0.80899268 0.52464495 0.36484687],0.5967218108110662,[0.74870968 0.53310696 0.50834879],,0.6611635088920593,0.5655932063091341,[0.77750922 0.50740502 0.41186537],0.555110456212256,[0.81254985 0.50127226 0.35150925],0.5854335776174252,[0.74536585 0.5136897  0.49724518],80,15,3,umap,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,"(512, 512)",0.1,0.0005,12,focal,2,True,5,Conv1d,,concatenation,64,8
0,,0.6726177930831909,0.5703538910633831,[0.78266623 0.53372434 0.39467111],0.5626702137351579,[0.80312288 0.52688172 0.35800604],0.5812253297676533,[0.76322581 0.54074703 0.43970315],,0.6655660271644592,0.561692595478629,[0.78110512 0.51118211 0.39279055],0.5540891824069105,[0.80314352 0.50125313 0.35787089],0.5723393321157235,[0.7602439  0.52151239 0.43526171],80,15,3,umap,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,"(512, 512)",0.1,0.0005,123,focal,2,True,5,Conv1d,,concatenation,64,8
0,,0.6665974855422974,0.5596706920916774,[0.78705225 0.50524396 0.38671587],0.5563225318612868,[0.80207636 0.54581281 0.32107843],0.5763182043924222,[0.77258065 0.47028862 0.48608534],,0.6652515530586243,0.5617221220157563,[0.78452485 0.51193359 0.38870793],0.5573763858048452,[0.80602007 0.54532056 0.32078853],0.5798860820323484,[0.76414634 0.48239896 0.49311295],80,15,3,umap,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,"(512, 512)",0.2,0.001,1,focal,2,True,5,Conv1d,,concatenation,64,9
0,,0.666182279586792,0.5582618474120346,[0.78543563 0.49114632 0.39820359],0.5565950378839465,[0.79161206 0.54442149 0.33375157],0.5734099177562675,[0.77935484 0.44736842 0.49350649],,0.6569182276725769,0.5459316523454555,[0.78185852 0.46940966 0.38652678],0.5443456238417472,[0.79023418 0.52022205 0.32258065],0.5611307856503092,[0.77365854 0.42764016 0.48209366],80,15,3,umap,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,"(512, 512)",0.2,0.001,12,focal,2,True,5,Conv1d,,concatenation,64,9
0,,0.6707494258880615,0.551273442006493,[0.78828829 0.50415028 0.36138175],0.5504596962165701,[0.78626444 0.51935194 0.34576271],0.5528714958741637,[0.79032258 0.48981324 0.37847866],,0.6665094494819641,0.549536282846207,[0.78626421 0.49311387 0.36923077],0.5472957676056329,[0.78790105 0.50866251 0.34532374],0.5532719917661103,[0.78463415 0.47848761 0.39669421],80,15,3,umap,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,"(512, 512)",0.2,0.001,123,focal,2,True,5,Conv1d,,concatenation,64,9
0,,0.6751089692115784,0.5505075966355263,[0.78987017 0.51675859 0.34489403],0.5534067464006684,[0.78496336 0.51653944 0.35871743],0.5479710377745789,[0.79483871 0.51697793 0.33209647],,0.6699685454368591,0.5504827925439627,[0.78490566 0.51119895 0.35534377],0.5504660551446039,[0.78347509 0.51664447 0.3512786 ],0.5505708699958766,[0.78634146 0.50586701 0.35950413],80,15,3,umap,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,"(512, 512)",0.2,0.0001,1,focal,2,True,5,Conv1d,,concatenation,64,10
