,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,shift,window_size,n,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,include_features_in_input,embedding_dim,num_features,log_signature,num_heads,num_layers,lstm_hidden_dim,ffn_hidden_dim,dropout_rate,learning_rate,seed,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,,0.6003831624984741,0.47401569878350064,[0.73684211 0.4        0.28520499],0.4715774726697606,[0.77480064 0.3602115  0.27972028],0.48100273590112047,[0.70242915 0.44966997 0.29090909],,0.6640976071357727,0.5613326628529998,[0.78426791 0.51152369 0.38820639],0.5538639050101105,[0.80883534 0.50125471 0.35150167],0.5722805445909502,[0.7611489  0.52222222 0.43347051],80,3,5,26,15,3,umap,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,384,"(512, 512)",0.1,0.0001,123,focal,2,True,5,Conv1d,,concatenation,64,7
0,,0.6216475367546082,0.4961223977926463,[0.75376297 0.38073603 0.35386819],0.49250437735733305,[0.76189069 0.42366026 0.29196217],0.5135357682673992,[0.74580682 0.34570957 0.44909091],,0.6838471293449402,0.5847284313752751,[0.80025494 0.51476793 0.43916242],0.580242969268535,[0.80985552 0.55707763 0.37379576],0.600515542293735,[0.79087931 0.47843137 0.53223594],80,3,5,26,15,3,umap,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,384,"(512, 512)",0.1,0.0005,1,focal,2,True,5,Conv1d,,concatenation,64,8
0,,0.611494243144989,0.49496455537276757,[0.74515785 0.41115242 0.3285834 ],0.4890980752974827,[0.78831881 0.37415426 0.30482115],0.5063706654066217,[0.70647773 0.45627063 0.35636364],,0.6806358098983765,0.5993788212734573,[0.78464819 0.55495169 0.45853659],0.5870868841918198,[0.83281471 0.51571268 0.41273326],0.6193923934457185,[0.74174855 0.60065359 0.51577503],80,3,5,26,15,3,umap,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,384,"(512, 512)",0.1,0.0005,12,focal,2,True,5,Conv1d,,concatenation,64,8
0,,0.6298850774765015,0.5054930082377548,[0.75611193 0.42809365 0.33227345],0.49983473615434876,[0.77040816 0.43389831 0.29519774],0.5149262849940287,[0.74233661 0.42244224 0.38      ],,0.6787090301513672,0.5777347785470944,[0.79457662 0.51971689 0.41891083],0.5716823960332782,[0.80696285 0.53653445 0.37154989],0.5888653952664742,[0.78256488 0.50392157 0.48010974],80,3,5,26,15,3,umap,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,384,"(512, 512)",0.1,0.0005,123,focal,2,True,5,Conv1d,,concatenation,64,8
0,,0.6189655065536499,0.5078278606683138,[0.7492438  0.42183406 0.35240572],0.502565126693218,[0.78535193 0.44805195 0.2742915 ],0.5358507099987038,[0.71631001 0.39851485 0.49272727],,0.6616891622543335,0.5693930003279924,[0.77812338 0.49706593 0.43298969],0.5620146128847151,[0.80117427 0.5267008  0.35816876],0.5914250473852092,[0.7563618  0.47058824 0.5473251 ],80,3,5,26,15,3,umap,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,384,"(512, 512)",0.2,0.001,1,focal,2,True,5,Conv1d,,concatenation,64,9
0,,0.6306513547897339,0.5175074423926577,[0.75672409 0.4429477  0.35285054],0.5082072896940639,[0.79240506 0.42606707 0.30614973],0.5339009152505766,[0.72411799 0.46122112 0.41636364],,0.6743738055229187,0.5750876839947494,[0.78995079 0.52881797 0.40649429],0.5671660398869065,[0.81268319 0.52693056 0.36188437],0.5876077728759542,[0.76845553 0.53071895 0.46364883],80,3,5,26,15,3,umap,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,384,"(512, 512)",0.2,0.001,12,focal,2,True,5,Conv1d,,concatenation,64,9
0,,0.6396551728248596,0.5141889059513317,[0.76363636 0.43804035 0.34089001],0.5094573806860061,[0.77453896 0.43714051 0.31669267],0.5203570802424372,[0.75303644 0.43894389 0.36909091],,0.6745343804359436,0.5643249915162887,[0.79229607 0.50251256 0.39816634],0.5627048038952337,[0.79169811 0.51546392 0.38095238],0.5667002054594128,[0.79289494 0.49019608 0.4170096 ],80,3,5,26,15,3,umap,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,384,"(512, 512)",0.2,0.001,123,focal,2,True,5,Conv1d,,concatenation,64,9
0,,0.6065133810043335,0.4674083745897444,[0.74577752 0.35908142 0.29736619],0.46453864073036066,[0.75102639 0.36348267 0.27910686],0.4711896001630238,[0.7406015  0.35478548 0.31818182],,0.6793513298034668,0.5827076890062761,[0.78862825 0.5285956  0.43089922],0.576987333229254,[0.79819355 0.54807018 0.38469828],0.5931529813571519,[0.77928949 0.51045752 0.48971193],80,3,5,26,15,3,umap,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,384,"(512, 512)",0.2,0.0001,1,focal,2,True,5,Conv1d,,concatenation,64,10
0,,0.5921456217765808,0.44472978395598534,[0.73124719 0.39252336 0.21041879],0.44867119456606835,[0.75814964 0.3477707  0.24009324],0.4479854416904964,[0.70618855 0.45049505 0.18727273],,0.6669877767562866,0.5701394347128484,[0.77763192 0.53649745 0.39628893],0.5638164852740458,[0.81172924 0.49638688 0.38333333],0.5800315736719929,[0.7462837  0.58366013 0.41015089],80,3,5,26,15,3,umap,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,384,"(512, 512)",0.2,0.0001,12,focal,2,True,5,Conv1d,,concatenation,64,10
0,,0.6059386730194092,0.4797481839012951,[0.74208145 0.39910314 0.29805996],0.476557866491619,[0.77553594 0.3647541  0.28938356],0.48642021865575796,[0.71139387 0.44059406 0.30727273],,0.6616891622543335,0.5596000020053155,[0.78293568 0.5024217  0.39344262],0.5520011843973937,[0.80657227 0.49649011 0.35294118],0.5711953917369417,[0.760645   0.50849673 0.44444444],80,3,5,26,15,3,umap,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,384,"(512, 512)",0.2,0.0001,123,focal,2,True,5,Conv1d,,concatenation,64,10
