,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,hidden_dim,dropout_rate,learning_rate,seed,loss_function,gamma,k_fold,n_splits,batch_size,model_id,input_dim,dimension,sig_depth,method,log_signature
0,,0.5588122606277466,0.45215098911097273,[0.69622435 0.36822569 0.29200293],0.4463711427937491,[0.75965812 0.33468286 0.24477245],0.47120902142267435,[0.64256796 0.40924092 0.36181818],,0.7172446846961975,0.6378420868774105,[0.81048493 0.61195929 0.49108205],0.6246603303872963,[0.84457798 0.5960347  0.43336831],0.6581084011107872,[0.77903754 0.62875817 0.56652949],"(128, 128)",0.5,0.001,123,focal,2,True,5,64,0.6,790,28,2,gaussian_random_projection,True
0,,0.5894635915756226,0.4692627451861065,[0.72465088 0.39234076 0.2907966 ],0.4627760339325844,[0.76261981 0.37268003 0.25302826],0.4820976672566042,[0.6902834  0.41419142 0.34181818],,0.7247912883758545,0.6443221019387962,[0.81764936 0.61221906 0.50309789],0.6326972262545091,[0.8457189  0.59361572 0.45875706],0.6601122204711788,[0.79138322 0.63202614 0.5569273 ],"(128, 128)",0.5,0.0001,1,focal,2,True,5,64,0.7,790,28,2,gaussian_random_projection,True
0,,0.5975095629692078,0.47437409151694876,[0.73106576 0.40307692 0.28897959],0.46855361529150813,[0.76591701 0.37752161 0.26222222],0.4844698454807887,[0.69924812 0.43234323 0.32181818],,0.7249518036842346,0.643322371116742,[0.81877445 0.61306533 0.49812734],0.6318495543170616,[0.84841935 0.59008464 0.45704467],0.6587882889781427,[0.79113127 0.6379085  0.5473251 ],"(128, 128)",0.5,0.0001,12,focal,2,True,5,64,0.7,790,28,2,gaussian_random_projection,True
0,,0.5787356495857239,0.4685074794310649,[0.71419676 0.3924751  0.29885057],0.46220454883450013,[0.77343223 0.35490327 0.25827815],0.4856261970905014,[0.66338924 0.43894389 0.35454545],,0.7283236980438232,0.6477384794587867,[0.8199662  0.61790668 0.50534255],0.6367097381412526,[0.84693878 0.59683313 0.46635731],0.6622072697391714,[0.7946586  0.64052288 0.55144033],"(128, 128)",0.5,0.0001,123,focal,2,True,5,64,0.7,790,28,2,gaussian_random_projection,True
0,,0.5710728168487549,0.45700604273250295,[0.7098756  0.36924309 0.29189944],0.4508922273042239,[0.75696037 0.35875486 0.23696145],0.4762228050451083,[0.66830538 0.38036304 0.38      ],,0.7294476628303528,0.6492354065943131,[0.82143318 0.61422484 0.51204819],0.6383221046224606,[0.84242585 0.61604208 0.45649839],0.6656233412432189,[0.80146133 0.6124183  0.5829904 ],"(128, 128)",0.5,0.0005,1,focal,2,True,5,64,0.8,790,28,2,gaussian_random_projection,True
0,,0.5662835240364075,0.45525342460543555,[0.7057174  0.38204017 0.2780027 ],0.4504867924267432,[0.76494428 0.36548606 0.22103004],0.4765711209640339,[0.65500289 0.40016502 0.37454545],,0.7225433588027954,0.6473441640135843,[0.81528327 0.6144     0.51234922],0.6323508113634176,[0.85446009 0.60188088 0.44071146],0.6729298029225408,[0.77954145 0.62745098 0.61179698],"(128, 128)",0.5,0.0005,12,focal,2,True,5,64,0.8,790,28,2,gaussian_random_projection,True
0,,0.5729885101318359,0.4646217342261223,[0.70958691 0.38205607 0.30222222],0.4579937719756704,[0.76969902 0.3492823  0.255     ],0.48357005798902614,[0.65818392 0.42161716 0.37090909],,0.7270391583442688,0.650558751037995,[0.81948424 0.61040236 0.52178966],0.6372766654257008,[0.84820706 0.61100196 0.45262097],0.6727863710642007,[0.79264298 0.60980392 0.61591221],"(128, 128)",0.5,0.0005,123,focal,2,True,5,64,0.8,790,28,2,gaussian_random_projection,True
0,,0.5524904131889343,0.4532477071145957,[0.68824095 0.38955224 0.28194993],0.44940397845529684,[0.77155172 0.35558583 0.22107438],0.48031742792555715,[0.62116831 0.43069307 0.38909091],,0.7210982441902161,0.6444370607843887,[0.81434432 0.61925739 0.49970947],0.62937864851613,[0.85758082 0.59708738 0.43346774],0.6694148715727718,[0.77525825 0.64313725 0.58984911],"(128, 128)",0.1,0.001,1,focal,2,True,5,64,0.9,790,28,2,gaussian_random_projection,True
0,,0.5509578585624695,0.45253188185241494,[0.68942415 0.37155072 0.29662078],0.4487076486296743,[0.76876556 0.35121234 0.22614504],0.4834087445760192,[0.6249277  0.39438944 0.43090909],,0.7119460701942444,0.6375885726613846,[0.80676522 0.61064785 0.49535265],0.6223213736649249,[0.85564972 0.59949622 0.41181818],0.6689286414154139,[0.76316453 0.62222222 0.62139918],"(128, 128)",0.1,0.001,12,focal,2,True,5,64,0.9,790,28,2,gaussian_random_projection,True
0,,0.574904203414917,0.4622136651786633,[0.71514964 0.37804407 0.29344729],0.45594458923810915,[0.77097961 0.35563636 0.2412178 ],0.48162341913774953,[0.66685946 0.40346535 0.37454545],,0.7228645086288452,0.6377796498613081,[0.81877983 0.60350422 0.4910549 ],0.6280700236450382,[0.83879493 0.5992268  0.44618834],0.6511647182878638,[0.79969766 0.60784314 0.54595336],"(128, 128)",0.1,0.001,123,focal,2,True,5,64,0.9,790,28,2,gaussian_random_projection,True
0,,0.5726053714752197,0.46212449558761187,[0.70832687 0.38529299 0.29275362],0.4555134101019775,[0.76362421 0.35954253 0.24337349],0.48092887542079826,[0.6604974  0.4150165  0.36727273],,0.7252729535102844,0.6451793114619908,[0.81770697 0.61659334 0.50123762],0.6330534755319589,[0.8487395  0.59382567 0.45659526],0.6618652399231297,[0.78886369 0.64117647 0.55555556],"(128, 128)",0.1,0.0001,1,focal,2,True,5,64,0.1,790,28,2,gaussian_random_projection,True
0,,0.5909961462020874,0.4715804869914459,[0.7260274  0.3970474  0.29166667],0.4649743116130549,[0.76638817 0.37518355 0.25335121],0.4849861857209434,[0.68970503 0.42161716 0.34363636],,0.7267180681228638,0.6448531157289706,[0.81957425 0.61621967 0.49876543],0.6336809374473138,[0.84524766 0.60237203 0.45342312],0.6601057432575225,[0.79541446 0.63071895 0.55418381],"(128, 128)",0.1,0.0001,12,focal,2,True,5,64,0.1,790,28,2,gaussian_random_projection,True
0,,0.565517246723175,0.45866355723792446,[0.70222083 0.37645294 0.2973169 ],0.45231628176923855,[0.76464578 0.34501718 0.24728589],0.47871263123998925,[0.6492192  0.41419142 0.37272727],,0.7267180681228638,0.6479599286713057,[0.81849047 0.61708163 0.50830769],0.6354504845912802,[0.84955272 0.59586123 0.4609375 ],0.6653394416751611,[0.78961955 0.63986928 0.56652949],"(128, 128)",0.1,0.0001,123,focal,2,True,5,64,0.1,790,28,2,gaussian_random_projection,True
0,,0.548275887966156,0.4491643527824523,[0.68175979 0.38636364 0.27936963],0.44535818879374695,[0.76642599 0.33915212 0.23049645],0.47244301063998817,[0.61393869 0.44884488 0.35454545],,0.7262363433837891,0.6527867422335436,[0.81526637 0.62719704 0.51589682],0.6373519807466664,[0.8599385  0.59369527 0.45842217],0.6765204298454636,[0.7750063  0.66470588 0.58984911],"(128, 128)",0.1,0.0005,1,focal,2,True,5,64,0.11,790,28,2,gaussian_random_projection,True
0,,0.5662835240364075,0.46113961224033306,[0.70244821 0.38467433 0.2962963 ],0.45499544701764333,[0.76801647 0.35908441 0.23788546],0.4847045340739973,[0.64719491 0.41419142 0.39272727],,0.726396918296814,0.6491778459500407,[0.81857536 0.61885116 0.51010702],0.6351655833785542,[0.85385878 0.60148057 0.4501574 ],0.6706081609598572,[0.78609221 0.6372549  0.58847737],"(128, 128)",0.1,0.0005,12,focal,2,True,5,64,0.11,790,28,2,gaussian_random_projection,True
0,,0.5549808144569397,0.4545373562935502,[0.69357681 0.38081289 0.28922237],0.450383447898351,[0.77737882 0.34233048 0.23144105],0.4801939638729633,[0.62608444 0.4290429  0.38545455],,0.7175658345222473,0.6403641670556843,[0.81130331 0.61440812 0.49538106],0.6257551108309902,[0.85238624 0.59716225 0.42771685],0.665051864367146,[0.77399849 0.63267974 0.58847737],"(128, 128)",0.1,0.0005,123,focal,2,True,5,64,0.11,790,28,2,gaussian_random_projection,True
0,,0.5666666626930237,0.45743817916087615,[0.7027027  0.36723602 0.30237581],0.4503774973842269,[0.75406032 0.34677419 0.25029797],0.4766589816876425,[0.65789474 0.39026403 0.38181818],,0.7178869843482971,0.6383515560647529,[0.81301243 0.61775819 0.48428405],0.6240565461475026,[0.85555246 0.59599028 0.4206269 ],0.6621078609770382,[0.77450239 0.64117647 0.57064472],"(256, 256)",0.5,0.001,1,focal,2,True,5,64,0.12,790,28,2,gaussian_random_projection,True
0,,0.5496168732643127,0.4542808287299063,[0.68417681 0.37697517 0.30169051],0.4493271462157166,[0.7666906  0.34647303 0.23481781],0.48429420327804906,[0.61769809 0.41336634 0.42181818],,0.721258819103241,0.6453261338369766,[0.81359505 0.61720499 0.50517837],0.6306366225765663,[0.85256764 0.60425798 0.43508424],0.6703144906796737,[0.77802973 0.63071895 0.60219479],"(256, 256)",0.5,0.001,12,focal,2,True,5,64,0.12,790,28,2,gaussian_random_projection,True
0,,0.568965494632721,0.4635099306548513,[0.70160661 0.38467262 0.30425056],0.45659025596305075,[0.76159837 0.350271   0.25790139],0.48261756250813054,[0.65037594 0.42656766 0.37090909],,0.7273603081703186,0.6500156860630107,[0.81703017 0.61844148 0.51457541],0.6384554773334365,[0.84815618 0.58900059 0.47820966],0.6653385085172615,[0.78810784 0.65098039 0.5569273 ],"(256, 256)",0.5,0.001,123,focal,2,True,5,64,0.12,790,28,2,gaussian_random_projection,True
0,,0.6009578704833984,0.47551725893015967,[0.7327881  0.3888233  0.30494037],0.47092525991133966,[0.75420875 0.37170805 0.28685897],0.48186530393930077,[0.71255061 0.40759076 0.32545455],,0.7271997332572937,0.6445945960705118,[0.82066632 0.61840025 0.49471722],0.6332972870783413,[0.8487214  0.59889773 0.45227273],0.659858566197398,[0.79440665 0.63921569 0.54595336],"(256, 256)",0.5,0.0001,1,focal,2,True,5,64,0.13,790,28,2,gaussian_random_projection,True
0,,0.5988505482673645,0.47470821035741056,[0.73203008 0.39528696 0.29680759],0.4704722639872263,[0.76253133 0.36645525 0.28243021],0.4818817497712755,[0.70387507 0.4290429  0.31272727],,0.7283236980438232,0.6458199934973718,[0.82172557 0.61851734 0.49721707],0.6345700293982138,[0.84840354 0.60260384 0.4527027 ],0.66113622403694,[0.79667423 0.63529412 0.55144033],"(256, 256)",0.5,0.0001,12,focal,2,True,5,64,0.13,790,28,2,gaussian_random_projection,True
0,,0.6044061183929443,0.4753341887000159,[0.73872264 0.39326283 0.29401709],0.471014440625452,[0.76127647 0.3743475  0.27741935],0.48146181188390674,[0.71746674 0.41419142 0.31272727],,0.7360308170318604,0.6546030696063886,[0.82610953 0.63101604 0.50668364],0.6442280836776509,[0.85175274 0.60824742 0.47268409],0.6678247156201301,[0.80196523 0.65555556 0.54595336],"(256, 256)",0.5,0.0001,123,focal,2,True,5,64,0.13,790,28,2,gaussian_random_projection,True
0,,0.5829501748085022,0.46179705554507305,[0.72095483 0.37171717 0.29271917],0.45550801767593496,[0.75482442 0.36421219 0.24748744],0.4759046627624011,[0.68999422 0.37953795 0.35818182],,0.7310532927513123,0.651191808675534,[0.82165109 0.62524147 0.50668287],0.6394166796849524,[0.84738956 0.61611675 0.45474373],0.6680290223085118,[0.79743008 0.63464052 0.57201646],"(256, 256)",0.5,0.0005,1,focal,2,True,5,64,0.14,790,28,2,gaussian_random_projection,True
0,,0.5634099841117859,0.4556700607604585,[0.69877628 0.38748137 0.28075253],0.4500504558710409,[0.76371742 0.35326087 0.23317308],0.47526135262456265,[0.64401388 0.4290429  0.35272727],,0.728644847869873,0.6521368980961374,[0.81786042 0.6261034  0.51244687],0.6386209866388718,[0.85141767 0.6047503  0.45969499],0.6715809506244198,[0.78684807 0.64901961 0.57887517],"(256, 256)",0.5,0.0005,12,focal,2,True,5,64,0.14,790,28,2,gaussian_random_projection,True
0,,0.582567036151886,0.46598942357417067,[0.71657754 0.38617581 0.29521492],0.46019713210562047,[0.75963719 0.35448276 0.26647145],0.47771305065729247,[0.67813765 0.42409241 0.33090909],,0.7262363433837891,0.6497352271952072,[0.81626782 0.61716792 0.51576994],0.6369376801669603,[0.848559   0.59265945 0.46959459],0.667383825958367,[0.78634417 0.64379085 0.57201646],"(256, 256)",0.5,0.0005,123,focal,2,True,5,64,0.14,790,28,2,gaussian_random_projection,True
0,,0.544252872467041,0.44983518918544324,[0.67774194 0.37800934 0.29375429],0.44566342830974204,[0.76622903 0.33481859 0.23594267],0.4768869807744222,[0.60757663 0.4339934  0.38909091],,0.7196531891822815,0.6438510180009498,[0.8107105  0.6196319  0.50121065],0.6292456741337308,[0.85538462 0.58381503 0.44853738],0.6661677016485607,[0.77047115 0.66013072 0.56790123],"(256, 256)",0.1,0.001,1,focal,2,True,5,64,0.15,790,28,2,gaussian_random_projection,True
0,,0.5664750933647156,0.45724909572802,[0.70107594 0.38019516 0.29047619],0.45225154843803955,[0.7607445  0.33826367 0.25774648],0.47226914247237334,[0.65008676 0.4339934  0.33272727],,0.723667323589325,0.6448801272560457,[0.81425203 0.62252902 0.49785933],0.6319738335027553,[0.84802183 0.5986723  0.44922737],0.6632446119737333,[0.78306878 0.64836601 0.55829904],"(256, 256)",0.1,0.001,12,focal,2,True,5,64,0.15,790,28,2,gaussian_random_projection,True
