,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,shift,window_size,n,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,num_features,embedding_dim,log_signature,swnu_hidden_dim,lstm_hidden_dim,ffn_hidden_dim,dropout_rate,learning_rate,seed,BiLSTM,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,,0.6434866189956665,0.4946475617169626,[0.7734375  0.36779419 0.342711  ],0.501658993804246,[0.74716981 0.43517475 0.32263242],0.49518527561258147,[0.80161943 0.31848185 0.36545455],,0.6718047261238098,0.5527485074016535,[0.79213276 0.47571069 0.39040208],0.5576202752130405,[0.77340374 0.52922338 0.3702337 ],0.5522373009560477,[0.81179138 0.43202614 0.41289438],20,3,5,6,15,3,umap,16,,['timeline_index'],[None],True,1,384,True,"(12,)",384,"(512, 512)",0.5,0.001,123,True,focal,2,True,5,Conv1d,,concatenation,64,6
0,,0.6325670480728149,0.4707155647369253,[0.77655367 0.35525114 0.28034188],0.4737465278016823,[0.75897294 0.39775051 0.26451613],0.47136903453214035,[0.79496819 0.3209571  0.29818182],,0.6685934662818909,0.5317844604661774,[0.79227053 0.46035627 0.34272658],0.5468306392198791,[0.76084435 0.49437359 0.38527397],0.5219218551618178,[0.82640464 0.43071895 0.30864198],20,3,5,6,15,3,umap,16,,['timeline_index'],[None],True,1,384,True,"(12,)",384,"(512, 512)",0.5,0.0001,1,True,focal,2,True,5,Conv1d,,concatenation,64,7
0,,0.6181992292404175,0.45923800020844524,[0.7574924  0.38556068 0.23466093],0.46890394918269157,[0.75848072 0.36063218 0.28759894],0.45629329618907527,[0.75650665 0.41419142 0.19818182],,0.6544637084007263,0.5198849224683588,[0.78125783 0.47426471 0.30413223],0.5352926654466547,[0.77697483 0.44636678 0.38253638],0.5146237370119516,[0.78558831 0.50588235 0.25240055],20,3,5,6,15,3,umap,16,,['timeline_index'],[None],True,1,384,True,"(12,)",384,"(512, 512)",0.5,0.0001,12,True,focal,2,True,5,Conv1d,,concatenation,64,7
0,,0.6339080333709717,0.4794231691581197,[0.76502268 0.39496855 0.27827828],0.4870834434543249,[0.75013897 0.40153453 0.30957684],0.47395003294430077,[0.78050896 0.38861386 0.25272727],,0.6570327281951904,0.5074548597915299,[0.78727778 0.44800546 0.28708134],0.5227053797865514,[0.75697674 0.46828225 0.34285714],0.498810388352872,[0.82010582 0.42941176 0.24691358],20,3,5,6,15,3,umap,16,,['timeline_index'],[None],True,1,384,True,"(12,)",384,"(512, 512)",0.5,0.0001,123,True,focal,2,True,5,Conv1d,,concatenation,64,7
0,,0.6260536313056946,0.49320760834649763,[0.75427729 0.42363776 0.30170778],0.4937253372541315,[0.76971704 0.39598278 0.31547619],0.49466040646863996,[0.73944477 0.45544554 0.28909091],,0.6624919772148132,0.5518217737396628,[0.77915507 0.49066002 0.38565022],0.5581522592749052,[0.78232156 0.46848989 0.42364532],0.5483187513688602,[0.77601411 0.51503268 0.35390947],20,3,5,6,15,3,umap,16,,['timeline_index'],[None],True,1,384,True,"(12,)",384,"(512, 512)",0.5,0.0005,1,True,focal,2,True,5,Conv1d,,concatenation,64,8
0,,0.6486589908599854,0.4850382418708321,[0.77993971 0.35794621 0.31722881],0.4995401013086526,[0.74114583 0.43937575 0.31809872],0.48045430685347307,[0.82301909 0.3019802  0.31636364],,0.6708413362503052,0.5395279736994837,[0.79530607 0.45441389 0.36886396],0.5503992710520674,[0.76495229 0.5089141  0.37733142],0.5331313320938801,[0.8281683  0.41045752 0.36076818],20,3,5,6,15,3,umap,16,,['timeline_index'],[None],True,1,384,True,"(12,)",384,"(512, 512)",0.5,0.0005,12,True,focal,2,True,5,Conv1d,,concatenation,64,8
0,,0.6486589908599854,0.5120035818494627,[0.77213901 0.45089463 0.3129771 ],0.5136699241685437,[0.77654285 0.43514965 0.32931727],0.511262815697417,[0.76778485 0.46782178 0.29818182],,0.6589595079421997,0.5410195195765537,[0.77989471 0.4810705  0.36209335],0.543389968095154,[0.77600399 0.48044329 0.37372263],0.5388966560561125,[0.78382464 0.48169935 0.35116598],20,3,5,6,15,3,umap,16,,['timeline_index'],[None],True,1,384,True,"(12,)",384,"(512, 512)",0.5,0.0005,123,True,focal,2,True,5,Conv1d,,concatenation,64,8
0,,0.638505756855011,0.5009308505169987,[0.76383922 0.4140625  0.32489083],0.5017166338764382,[0.75573167 0.43681319 0.31260504],0.5012895962817797,[0.77212261 0.39356436 0.33818182],,0.6547848582267761,0.5431965753926097,[0.77539632 0.48451255 0.36968085],0.5409208099952579,[0.78064351 0.48340924 0.35870968],0.5457281403645134,[0.7702192  0.48562092 0.38134431],20,3,5,6,15,3,umap,16,,['timeline_index'],[None],True,1,384,True,"(12,)",384,"(512, 512)",0.1,0.001,1,True,focal,2,True,5,Conv1d,,concatenation,64,9
0,,0.6333333253860474,0.5120934200760862,[0.75518174 0.45697329 0.32412523],0.5096925161926218,[0.785625   0.41509434 0.32835821],0.5184202191184996,[0.72700983 0.50825083 0.32      ],,0.660565197467804,0.5497840919783897,[0.77954779 0.50729587 0.36250861],0.5475645926104384,[0.79528178 0.48314607 0.36426593],0.5530597973071258,[0.76442429 0.53398693 0.36076818],20,3,5,6,15,3,umap,16,,['timeline_index'],[None],True,1,384,True,"(12,)",384,"(512, 512)",0.1,0.001,12,True,focal,2,True,5,Conv1d,,concatenation,64,9
0,,0.6279693245887756,0.49353112384334924,[0.76090095 0.37979094 0.33990148],0.490632727743269,[0.75980392 0.40221402 0.30988024],0.49936692223299833,[0.76200116 0.35973597 0.37636364],,0.6610468626022339,0.5464322821162996,[0.78388278 0.48668442 0.36872964],0.5443378825071937,[0.78596758 0.49592944 0.35111663],0.5492632718382278,[0.78180902 0.47777778 0.38820302],20,3,5,6,15,3,umap,16,,['timeline_index'],[None],True,1,384,True,"(12,)",384,"(512, 512)",0.1,0.001,123,True,focal,2,True,5,Conv1d,,concatenation,64,9
0,,0.6509578824043274,0.5040259441798849,[0.77841234 0.4255144  0.30815109],0.5110440480199663,[0.76875353 0.42446634 0.33991228],0.49890092826518045,[0.78831695 0.42656766 0.28181818],,0.671162486076355,0.5495580763921349,[0.79463287 0.47805851 0.37598284],0.5542763477050788,[0.78382353 0.4864682  0.39253731],0.5454824453787002,[0.80574452 0.46993464 0.36076818],20,3,5,6,15,3,umap,16,,['timeline_index'],[None],True,1,384,True,"(12,)",384,"(512, 512)",0.1,0.0001,1,True,focal,2,True,5,Conv1d,,concatenation,64,10
