,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,include_features_in_input,embedding_dim,num_features,log_signature,swnu_hidden_dim,ffn_hidden_dim,dropout_rate,learning_rate,seed,BiLSTM,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,,0.6021072864532471,0.49388472593904004,[0.72926303 0.42151482 0.33087633],0.48692834568628546,[0.78104359 0.37869822 0.30104322],0.5088138646137604,[0.68392134 0.47524752 0.36727273],,0.6682723164558411,0.5809461556117069,[0.77614728 0.54583458 0.42085661],0.5705359649210043,[0.82478027 0.50247389 0.38435374],0.5984454687224684,[0.73293021 0.59738562 0.46502058],80,15,3,umap,17,,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,"(12,)","(512, 512)",0.1,0.0005,12,True,focal,2,True,5,Conv1d,,concatenation,64,8
0,,0.636781632900238,0.5040552287706559,[0.76665705 0.40295067 0.34255797],0.5040952515039004,[0.76467204 0.45663532 0.2909784 ],0.5151923642335315,[0.7686524  0.36056106 0.41636364],,0.6827231645584106,0.5766505100080338,[0.79870211 0.50429585 0.42695357],0.5811120541590428,[0.79129575 0.58849172 0.3635487 ],0.5881905574301052,[0.80624843 0.44117647 0.51714678],80,15,3,umap,17,,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,"(12,)","(512, 512)",0.1,0.0005,123,True,focal,2,True,5,Conv1d,,concatenation,64,8
0,,0.6239463686943054,0.5000140169739685,[0.75778805 0.42463958 0.31761442],0.49663106558416564,[0.78191326 0.45125348 0.25672646],0.5174869112128101,[0.735107   0.4009901  0.41636364],,0.6758188605308533,0.5800056026220456,[0.7892057  0.5058698  0.44494131],0.5760123519623946,[0.79753023 0.55503513 0.3754717 ],0.5972374683755532,[0.78105316 0.46470588 0.54595336],80,15,3,umap,17,,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,"(12,)","(512, 512)",0.2,0.001,1,True,focal,2,True,5,Conv1d,,concatenation,64,9
0,,0.5858237743377686,0.4925064418162443,[0.71229773 0.43657614 0.32864545],0.48664664159878596,[0.80859662 0.37418975 0.27715356],0.5213529467463808,[0.63649508 0.52392739 0.40363636],,0.6517341136932373,0.5697736303527712,[0.76092545 0.52567095 0.4227245 ],0.5591697205150478,[0.82174167 0.47471022 0.38105727],0.5906674878456184,[0.7084908  0.58888889 0.47462277],80,15,3,umap,17,,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,"(12,)","(512, 512)",0.2,0.001,12,True,focal,2,True,5,Conv1d,,concatenation,64,9
0,,0.6331417560577393,0.5065605582982114,[0.76205788 0.41373239 0.3438914 ],0.5025335767755903,[0.77039007 0.44339623 0.29381443],0.5187460747231462,[0.75390399 0.38778878 0.41454545],,0.6754977703094482,0.5677375236105766,[0.79307338 0.48365074 0.42648846],0.5680857919268066,[0.78437654 0.53711093 0.3827699 ],0.5744386643546308,[0.80196523 0.43986928 0.48148148],80,15,3,umap,17,,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,"(12,)","(512, 512)",0.2,0.001,123,True,focal,2,True,5,Conv1d,,concatenation,64,9
0,,0.6136015057563782,0.4796427174543132,[0.74914294 0.41653418 0.27325103],0.47481915873389663,[0.77299293 0.40184049 0.24962406],0.4869606879716312,[0.72672065 0.43234323 0.30181818],,0.6918753981590271,0.6019954255100632,[0.79675425 0.5496732  0.45955882],0.5933251191622689,[0.81501976 0.5496732  0.41528239],0.6144553294568856,[0.77928949 0.5496732  0.51440329],80,15,3,umap,17,,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,"(12,)","(512, 512)",0.2,0.0001,1,True,focal,2,True,5,Conv1d,,concatenation,64,10
0,,0.6059386730194092,0.47705547234238993,[0.74208414 0.38528481 0.30379747],0.4723538689401034,[0.76353625 0.37006079 0.28346457],0.48363080668969155,[0.72180451 0.40181518 0.32727273],,0.6799935698509216,0.5815757967272253,[0.79213772 0.53015977 0.42242991],0.5746882084614974,[0.80812582 0.5289525  0.3869863 ],0.5910543641324842,[0.77676997 0.53137255 0.46502058],80,15,3,umap,17,,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,"(12,)","(512, 512)",0.2,0.0001,12,True,focal,2,True,5,Conv1d,,concatenation,64,10
0,,0.6243295073509216,0.4876732278482443,[0.75756685 0.41357027 0.29188256],0.4843452549621108,[0.77001195 0.40506329 0.27796053],0.4917442039172107,[0.74551764 0.42244224 0.30727273],,0.6828837394714355,0.5739392289554374,[0.79738398 0.519437   0.40499671],0.5726612130664203,[0.79608237 0.53301238 0.38888889],0.575907454888677,[0.79868985 0.50653595 0.42249657],80,15,3,umap,17,,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,"(12,)","(512, 512)",0.2,0.0001,123,True,focal,2,True,5,Conv1d,,concatenation,64,10
0,,0.6097701191902161,0.5000201562290338,[0.73685833 0.44367551 0.31952663],0.4912575792145793,[0.78903929 0.41540677 0.26932668],0.5199836114322826,[0.69115095 0.47607261 0.39272727],,0.6795119047164917,0.5919672074899004,[0.78779911 0.54754308 0.44055944],0.5805490947787556,[0.82375584 0.53491272 0.38297872],0.6113843068091435,[0.75485009 0.56078431 0.51851852],80,15,3,umap,17,,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,"(12,)","(512, 512)",0.2,0.0005,1,True,focal,2,True,5,Conv1d,,concatenation,64,11
0,,0.5923371911048889,0.48907325264956386,[0.72269437 0.41802697 0.32649842],0.48262273462670136,[0.79281768 0.36674969 0.28830084],0.5087682816864683,[0.66396761 0.4859736  0.37636364],,0.6756583452224731,0.5949302333184973,[0.78019485 0.55021302 0.45438283],0.5820534256316773,[0.82945516 0.51480638 0.40189873],0.6166469880133123,[0.73645755 0.59084967 0.52263374],80,15,3,umap,17,,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,"(12,)","(512, 512)",0.2,0.0005,12,True,focal,2,True,5,Conv1d,,concatenation,64,11
0,,0.6337164640426636,0.5100956665819486,[0.76277696 0.42900302 0.33850702],0.5048479001628635,[0.77958937 0.44977376 0.28518057],0.5243680070725407,[0.74667438 0.41006601 0.41636364],,0.6740526556968689,0.5731062731713262,[0.78986246 0.51235642 0.41709994],0.5689718564884599,[0.79860932 0.54802681 0.36027944],0.5858499229595816,[0.78130511 0.48104575 0.4951989 ],80,15,3,umap,17,,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,"(12,)","(512, 512)",0.2,0.0005,123,True,focal,2,True,5,Conv1d,,concatenation,64,11
0,,0.6201149225234985,0.4991051250857757,[0.7516859  0.4295416  0.31608788],0.49380072211502624,[0.78009331 0.44230769 0.25900116],0.5160736733013961,[0.72527473 0.41749175 0.40545455],,0.6719653010368347,0.5776533528980979,[0.78726968 0.51133589 0.43435449],0.5717077607080944,[0.80564346 0.54824233 0.36123749],0.5977939598335905,[0.76971529 0.47908497 0.54458162],80,15,4,umap,17,,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,"(10,)","(256, 256)",0.1,0.001,1,True,focal,2,True,5,Conv1d,,concatenation,64,12
0,,0.6193486452102661,0.5112071165989825,[0.74953903 0.43454039 0.34954193],0.5015782677098418,[0.79967213 0.41967717 0.2853855 ],0.5355750450695734,[0.70532099 0.45049505 0.45090909],,0.6570327281951904,0.5696678305689719,[0.76758893 0.51847134 0.42294322],0.5587207530778021,[0.8044739  0.50559006 0.36609829],0.5888833448331321,[0.73393802 0.53202614 0.50068587],80,15,4,umap,17,,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,"(10,)","(256, 256)",0.1,0.001,12,True,focal,2,True,5,Conv1d,,concatenation,64,12
0,,0.632758617401123,0.5044240514897512,[0.76221307 0.42647675 0.32458234],0.49921611672696115,[0.77591372 0.43319149 0.28854314],0.5132879806199243,[0.74898785 0.419967   0.37090909],,0.6767822504043579,0.5671127745909632,[0.79487179 0.50395869 0.40250784],0.5653702947343932,[0.7930775  0.53236364 0.37066975],0.5718116053005565,[0.79667423 0.47843137 0.44032922],80,15,4,umap,17,,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,"(10,)","(256, 256)",0.1,0.001,123,True,focal,2,True,5,Conv1d,,concatenation,64,12
0,,0.6285440325737,0.4609115167564617,[0.76047139 0.40448538 0.21777778],0.4733325012165186,[0.74700139 0.39299611 0.28      ],0.45642819169134957,[0.77443609 0.41666667 0.17818182],,0.6806358098983765,0.5641055058616488,[0.79104293 0.51997337 0.38130022],0.571588607612158,[0.77710258 0.52985075 0.4078125 ],0.5579915916984077,[0.80549257 0.51045752 0.35802469],80,15,4,umap,17,,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,"(10,)","(256, 256)",0.1,0.0001,1,True,focal,2,True,5,Conv1d,,concatenation,64,13
0,,0.611494243144989,0.4591105492352701,[0.75208994 0.36850921 0.2567325 ],0.45913613427762884,[0.74971264 0.37414966 0.2535461 ],0.45917288779196025,[0.75448236 0.3630363  0.26      ],,0.6512523889541626,0.5407551308520274,[0.77207184 0.476      0.37419355],0.5380505357147829,[0.77520955 0.48571429 0.35322777],0.544477104970932,[0.76895944 0.46666667 0.39780521],80,15,4,umap,17,,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,"(10,)","(256, 256)",0.1,0.0001,12,True,focal,2,True,5,Conv1d,,concatenation,64,13
0,,0.6183907985687256,0.46882432781930805,[0.75844156 0.37442154 0.27360989],0.46825096686192924,[0.75691244 0.38197425 0.26586621],0.4696522544099407,[0.75997687 0.36716172 0.28181818],,0.6647399067878723,0.556847104466943,[0.78244419 0.49041372 0.3976834 ],0.5543587643587643,[0.78333333 0.50519751 0.37454545],0.5606319894212829,[0.78155707 0.47647059 0.42386831],80,15,4,umap,17,,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,"(10,)","(256, 256)",0.1,0.0001,123,True,focal,2,True,5,Conv1d,,concatenation,64,13
0,,0.6101532578468323,0.49644313766592535,[0.74481487 0.41982959 0.32468495],0.4880688874596057,[0.79449361 0.39562044 0.27409262],0.5154532549842606,[0.70098323 0.44719472 0.39818182],,0.6697174310684204,0.58056083080496,[0.78130349 0.53401797 0.42636103],0.5696629762535459,[0.81825703 0.52459016 0.36614173],0.6005407924486666,[0.74754346 0.54379085 0.51028807],80,15,4,umap,17,,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,"(10,)","(256, 256)",0.1,0.0005,1,True,focal,2,True,5,Conv1d,,concatenation,64,14
