,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,embedding_dim,num_features,log_signature,num_heads,num_layers,ffn_hidden_dim,dropout_rate,learning_rate,seed,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,0.38998087188776803,0.5948522686958313,0.591136655230507,[0.63011314 0.55216017],0.5934261321455085,[0.60333333 0.58351893],0.5916903460837888,[0.65938069 0.524     ],0.1828620880842209,0.7188612222671509,0.7034795966072264,[0.77101449 0.6359447 ],0.7006024096385541,[0.80120482 0.6       ],0.7097436740059153,[0.74301676 0.67647059],35,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(128, 128)",0.1,0.001,12,focal,2,False,,Conv1d,,concatenation,64,3
0,0.3131226783289629,0.6520496010780334,0.6507495633058318,[0.62944162 0.6720575 ],0.6605616834039241,[0.71100917 0.61011419],0.6563315118397086,[0.56466302 0.748     ],0.2258254647254944,0.6370106935501099,0.5855696934644303,[0.73157895 0.43956044],0.5957711442786069,[0.69154229 0.5       ],0.58434658779713,[0.77653631 0.39215686],35,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(128, 128)",0.1,0.001,123,focal,2,False,,Conv1d,,concatenation,64,3
0,0.2776578095029382,0.5986654162406921,0.5873108281742787,[0.51885714 0.65576451],0.6254762450254139,[0.69631902 0.55463347],0.6077395264116576,[0.41347905 0.802     ],0.24077967405319214,0.5587188601493835,0.4661723250398333,[0.68844221 0.24390244],0.4740757107084991,[0.62557078 0.32258065],0.48072077993208456,[0.76536313 0.19607843],35,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(128, 128)",0.1,0.0001,1,focal,2,False,,Conv1d,,concatenation,64,4
0,0.49072371510898366,0.6348903775215149,0.6347576047658139,[0.62779397 0.64172123],0.6378643087287639,[0.67291667 0.60281195],0.6371712204007286,[0.58834244 0.686     ],0.2659889727830887,0.6512455344200134,0.6213146314631464,[0.72777778 0.51485149],0.6218784530386741,[0.72375691 0.52      ],0.6208237484938108,[0.73184358 0.50980392],35,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(128, 128)",0.1,0.0001,12,focal,2,False,,Conv1d,,concatenation,64,4
0,0.40612514930612903,0.6539561748504639,0.6534522629666336,[0.64023786 0.66666667],0.659236362294235,[0.70217391 0.61629881],0.6571712204007285,[0.58834244 0.726     ],0.32171300053596497,0.6725978851318359,0.6444994499449945,[0.74444444 0.54455446],0.6451657458563536,[0.74033149 0.55      ],0.6439095191149085,[0.74860335 0.53921569],35,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(128, 128)",0.1,0.0001,123,focal,2,False,,Conv1d,,concatenation,64,4
0,0.42168689300032225,0.6596758961677551,0.6566794738159346,[0.62460568 0.68875327],0.6746580082585527,[0.73880597 0.61051005],0.6654918032786885,[0.54098361 0.79      ],0.2560092926025391,0.6441280841827393,0.5373419388830347,[0.75961538 0.31506849],0.5946969696969697,[0.66666667 0.52272727],0.5540858801621207,[0.88268156 0.2254902 ],35,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(128, 128)",0.1,0.0005,1,focal,2,False,,Conv1d,,concatenation,64,5
0,0.4226424764184391,0.6091516017913818,0.6088526319618757,[0.59803922 0.61966605],0.6127065288460831,[0.64755839 0.57785467],0.6117777777777778,[0.55555556 0.668     ],0.20057016909122466,0.708185076713562,0.664892379290285,[0.78534031 0.54444444],0.6835606921813818,[0.73891626 0.62820513],0.6591904918391938,[0.83798883 0.48039216],35,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(128, 128)",0.1,0.0005,12,focal,2,False,,Conv1d,,concatenation,64,5
0,0.4471707072328119,0.6539561748504639,0.6539511171090118,[0.65527066 0.65263158],0.6551059414591525,[0.68452381 0.62568807],0.655207650273224,[0.6284153 0.682    ],0.2654161900281906,0.6263344883918762,0.6169425511197664,[0.67692308 0.55696203],0.6211567732115677,[0.75342466 0.48888889],0.6307919815971081,[0.61452514 0.64705882],35,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(128, 128)",0.1,0.0005,123,focal,2,False,,Conv1d,,concatenation,64,5
0,0.4420795791289386,0.6320305466651917,0.6207392004795623,[0.55529954 0.68617886],0.6667840425988749,[0.75548589 0.57808219],0.6414899817850638,[0.43897996 0.844     ],0.3633571475744247,0.6298932433128357,0.614010989010989,[0.69230769 0.53571429],0.6138261676461491,[0.73584906 0.49180328],0.6209332895169242,[0.65363128 0.58823529],35,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(256, 256)",0.5,0.001,1,focal,2,False,,Conv1d,,concatenation,64,6
0,0.3226251549580518,0.6558627486228943,0.6511441092124767,[0.61057174 0.69171648],0.6761269998974917,[0.74867725 0.60357675],0.6627413479052824,[0.5154827 0.81     ],0.24010356962680818,0.6548042893409729,0.6425639613412539,[0.70870871 0.57641921],0.6429594028019225,[0.76623377 0.51968504],0.6531383503121919,[0.65921788 0.64705882],35,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(256, 256)",0.5,0.001,12,focal,2,False,,Conv1d,,concatenation,64,6
