,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,shift,window_size,n,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,include_features_in_input,embedding_dim,num_features,log_signature,swnu_hidden_dim,lstm_hidden_dim,ffn_hidden_dim,dropout_rate,learning_rate,seed,BiLSTM,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,,0.685181736946106,0.666988280239225,[0.7448255  0.58915106],0.6646826991013423,[0.78728841 0.54207699],0.6759435959441428,[0.70670872 0.64517848],,0.7548187375068665,0.7434158819586442,[0.7975064  0.68932536],0.7411202185792349,[0.81557377 0.66666667],0.7469003372627769,[0.78022217 0.7135785 ],80,3,5,26,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)",384,"(512, 512)",0.1,0.001,123,True,focal,2,True,5,Conv1d,,concatenation,64,6
0,,0.705312192440033,0.6810393404988,[0.76902849 0.59305019],0.6788692712023519,[0.78403336 0.57370518],0.6841662471345549,[0.75458716 0.61374534],,0.7673540711402893,0.7502220561525861,[0.81563768 0.68480643],0.7541665452972738,[0.80025152 0.70808157],0.7473199131687759,[0.8316271  0.66301273],80,3,5,26,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)",384,"(512, 512)",0.1,0.0001,1,True,focal,2,True,5,Conv1d,,concatenation,64,7
0,,0.6859273314476013,0.6645619471293946,[0.74921863 0.57990526],0.6620008632399867,[0.77901578 0.54498594],0.6706113631698054,[0.72161697 0.61960575],,0.7662757635116577,0.7531138120050682,[0.81011827 0.69610936],0.752320415076963,[0.81457829 0.69006254],0.7539849505689904,[0.80570682 0.70226308],80,3,5,26,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)",384,"(512, 512)",0.1,0.0001,12,True,focal,2,True,5,Conv1d,,concatenation,64,7
0,,0.6872320771217346,0.6650376334868082,[0.75126001 0.57881526],0.6625006591784001,[0.77777778 0.54722354],0.6703844645222466,[0.72649083 0.6142781 ],,0.7509098052978516,0.7380305420011368,[0.7961165  0.67994458],0.7364723530137604,[0.80661748 0.66632722],0.7400077776548853,[0.78588543 0.69413013],80,3,5,26,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)",384,"(512, 512)",0.1,0.0001,123,True,focal,2,True,5,Conv1d,,concatenation,64,7
0,,0.6890959739685059,0.6649950899399023,[0.75485009 0.57514009],0.6627137542747912,[0.77442702 0.55100049],0.6688651371259036,[0.73623853 0.60149174],,0.76870197057724,0.7541495814422561,[0.81396357 0.69433559],0.7549216976932394,[0.81027412 0.69956927],0.7534332053642867,[0.81768678 0.68917963],80,3,5,26,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)",384,"(512, 512)",0.1,0.0005,1,True,focal,2,True,5,Conv1d,,concatenation,64,8
0,,0.6767940521240234,0.653858913269443,[0.74295879 0.56475904],0.6515590261116224,[0.76918355 0.5339345 ],0.6589119923457791,[0.7184633  0.59936068],,0.7836635708808899,0.7728040223559791,[0.82247539 0.72313265],0.7707336106054701,[0.83550562 0.7059616 ],0.7755025899328893,[0.80984535 0.74115983],80,3,5,26,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)",384,"(512, 512)",0.1,0.0005,12,True,focal,2,True,5,Conv1d,,concatenation,64,8
0,,0.6876048445701599,0.6630971618112589,[0.75396359 0.57223073],0.6609018726220777,[0.77256318 0.54924057],0.6667340769234529,[0.73623853 0.59722962],,0.7565709948539734,0.742001947417569,[0.80331083 0.68069307],0.742001947417569,[0.80331083 0.68069307],0.742001947417569,[0.80331083 0.68069307],80,3,5,26,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)",384,"(512, 512)",0.1,0.0005,123,True,focal,2,True,5,Conv1d,,concatenation,64,8
0,,0.6972972750663757,0.6746663679474254,[0.76047198 0.58886076],0.672066621768394,[0.78311057 0.56102267],0.6793556292248513,[0.7391055  0.61960575],,0.7711281776428223,0.7588353351225486,[0.81328348 0.70438719],0.7574944321526846,[0.82123029 0.69375857],0.7604177674356414,[0.805489   0.71534653],80,3,5,26,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)",384,"(512, 512)",0.2,0.001,1,True,focal,2,True,5,Conv1d,,concatenation,64,9
0,,0.6708294749259949,0.6543040947928611,[0.72988682 0.57872137],0.6531345820203236,[0.78229508 0.52397408],0.6651518197103518,[0.68405963 0.64624401],,0.8192479014396667,0.8107058925713859,[0.85091718 0.77049461],0.8077915373179516,[0.86898274 0.74660033],0.814778168158167,[0.83358745 0.79596888],80,3,5,26,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)",384,"(512, 512)",0.2,0.001,12,True,focal,2,True,5,Conv1d,,concatenation,64,9
0,,0.6857408881187439,0.6564311492640309,[0.75678015 0.55608215],0.6556640463221766,[0.7616144  0.54971369],0.6573033870904674,[0.75200688 0.56259989],,0.7678932547569275,0.751324902768573,[0.81551318 0.68713663],0.75454871422507,[0.80244571 0.70665172],0.7488418626690126,[0.82901329 0.66867044],80,3,5,26,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)",384,"(512, 512)",0.2,0.001,123,True,focal,2,True,5,Conv1d,,concatenation,64,9
