,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,add_time_in_path,num_features,embedding_dim,log_signature,swnu_hidden_dim,ffn_hidden_dim,dropout_rate,learning_rate,seed,BiLSTM,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,0.27345751313602223,0.6015252470970154,0.5815851750066796,[0.4902439  0.67292645],0.6471983228829717,[0.74169742 0.55269923],0.6130601092896175,[0.36612022 0.86      ],0.23921578824520112,0.6334519386291504,0.6092005238924669,[0.70655271 0.51184834],0.6081715382974184,[0.72093023 0.49541284],0.6110745974367401,[0.69273743 0.52941176],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)","(128, 128)",0.5,0.0001,12,False,focal,2,False,,Conv1d,,concatenation,64,7
0,0.24791533894398632,0.5653002858161926,0.5097889714201387,[0.34482759 0.67475036],0.670358387257342,[0.81632653 0.52439024],0.5822896174863388,[0.21857923 0.946     ],0.24284493327140808,0.6370106935501099,0.6369692978011956,[0.64084507 0.63309353],0.6833333333333333,[0.86666667 0.5       ],0.6855624931536861,[0.50837989 0.8627451 ],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)","(128, 128)",0.5,0.0001,123,False,focal,2,False,,Conv1d,,concatenation,64,7
0,0.32120971381664276,0.6167778968811035,0.6163005262813094,[0.6027668  0.62983425],0.6211825238281279,[0.6587473  0.58361775],0.6197777777777778,[0.55555556 0.684     ],0.20079334378242492,0.7508896589279175,0.730666009420528,[0.80446927 0.65686275],0.730666009420528,[0.80446927 0.65686275],0.730666009420528,[0.80446927 0.65686275],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)","(128, 128)",0.5,0.0005,1,False,focal,2,False,,Conv1d,,concatenation,64,8
0,0.4950017280438367,0.5977120995521545,0.5946617587810863,[0.55949896 0.62982456],0.6080971118581907,[0.65525672 0.5609375 ],0.60308014571949,[0.48816029 0.718     ],0.2742228329181671,0.6939501762390137,0.6755022021699431,[0.75287356 0.59813084],0.6732882502113271,[0.77514793 0.57142857],0.6796472779055756,[0.73184358 0.62745098],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)","(128, 128)",0.5,0.0005,12,False,focal,2,False,,Conv1d,,concatenation,64,8
0,0.4708695394151351,0.5681601762771606,0.562999066585127,[0.51550802 0.61049011],0.5798986394079353,[0.62435233 0.53544495],0.5744899817850637,[0.43897996 0.71      ],0.20376124382019042,0.7010676264762878,0.6724941724941724,[0.76923077 0.57575758],0.6752533783783784,[0.75675676 0.59375   ],0.6704732172198489,[0.78212291 0.55882353],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)","(128, 128)",0.5,0.0005,123,False,focal,2,False,,Conv1d,,concatenation,64,8
0,0.4377805117298575,0.6253575086593628,0.6251926281710347,[0.63305322 0.61733204],0.6254716569608934,[0.64942529 0.60151803],0.6257431693989071,[0.61748634 0.634     ],0.2108369290828705,0.754448413848877,0.718841084091008,[0.81889764 0.61878453],0.7405689936082216,[0.77227723 0.70886076],0.7102639938657027,[0.87150838 0.54901961],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)","(128, 128)",0.1,0.001,1,False,focal,2,False,,Conv1d,,concatenation,64,9
0,0.4872852704104255,0.5986654162406921,0.5982433397468263,[0.58522167 0.611265  ],0.6025460287546287,[0.63733906 0.567753  ],0.6014918032786886,[0.54098361 0.662     ],0.27755328416824343,0.6690391302108765,0.6365621305889716,[0.74520548 0.52791878],0.6392756083757782,[0.7311828  0.54736842],0.6347902289407383,[0.75977654 0.50980392],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)","(128, 128)",0.1,0.001,12,False,focal,2,False,,Conv1d,,concatenation,64,9
0,0.32940449960091533,0.6101048588752747,0.6097857118820265,[0.5986261  0.62094532],0.6137599676625143,[0.64893617 0.57858377],0.6127777777777779,[0.55555556 0.67      ],0.2111747980117798,0.690391480922699,0.6600097350671024,[0.76164384 0.55837563],0.663129598189021,[0.74731183 0.57894737],0.657875999561836,[0.77653631 0.53921569],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)","(128, 128)",0.1,0.001,123,False,focal,2,False,,Conv1d,,concatenation,64,9
0,0.6458313219687518,0.58913254737854,0.5856623762240134,[0.54774397 0.62358079],0.5997639880267096,[0.6460396  0.55348837],0.5947049180327868,[0.47540984 0.714     ],0.2689335823059082,0.7508896589279175,0.7171900161030595,[0.81481481 0.61956522],0.7344956489765903,[0.77386935 0.69512195],0.7095793624712454,[0.8603352  0.55882353],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)","(128, 128)",0.1,0.0001,1,False,focal,2,False,,Conv1d,,concatenation,64,10
0,0.3955010999651516,0.6139180064201355,0.6126507907997896,[0.59049545 0.63480613],0.6208165397820571,[0.66363636 0.57799672],0.6179380692167578,[0.53187614 0.704     ],0.20205512940883635,0.7295373678207397,0.6912087912087912,[0.8        0.58241758],0.7093594527363184,[0.75621891 0.6625    ],0.6843849271552196,[0.84916201 0.51960784],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)","(128, 128)",0.1,0.0001,12,False,focal,2,False,,Conv1d,,concatenation,64,10
