,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,embedding_dim,num_features,log_signature,num_heads,num_layers,ffn_hidden_dim,dropout_rate,learning_rate,seed,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,0.4420071822755477,0.6129647493362427,0.6110812805002777,[0.63814617 0.58401639],0.6117606728555296,[0.62478185 0.5987395 ],0.611047358834244,[0.65209472 0.57      ],0.20872188210487366,0.7046263217926025,0.6577445153716341,[0.78441558 0.53107345],0.6798381877022655,[0.73300971 0.62666667],0.6521798663599518,[0.84357542 0.46078431],35,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(256, 256)",0.5,0.001,123,focal,2,False,,Conv1d,,concatenation,64,6
0,0.3473624253974241,0.6406100988388062,0.6404794177459838,[0.63362488 0.64733396],0.6436255125951963,[0.67916667 0.60808436],0.642903460837887,[0.59380692 0.692     ],0.23100456297397615,0.6156583428382874,0.5586387434554975,[0.71727749 0.4       ],0.5682076544145509,[0.67487685 0.46153846],0.5591521524811042,[0.76536313 0.35294118],35,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(256, 256)",0.5,0.0001,1,focal,2,False,,Conv1d,,concatenation,64,7
0,0.3201249837875366,0.6272640824317932,0.6260406400067104,[0.60465116 0.64743012],0.6345182116733841,[0.67954545 0.58949097],0.6313132969034608,[0.54462659 0.718     ],0.21956941187381745,0.690391480922699,0.6434062167247692,[0.77284595 0.51396648],0.6614463967405144,[0.7254902 0.5974026],0.6388980173074816,[0.82681564 0.45098039],35,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(256, 256)",0.5,0.0001,12,focal,2,False,,Conv1d,,concatenation,64,7
0,0.41106269815388846,0.6253575086593628,0.6247559475968859,[0.63978002 0.60973188],0.6247170607800753,[0.64391144 0.60552268],0.6248506375227687,[0.63570128 0.614     ],0.1928010880947113,0.8185053467750549,0.7896984371560642,[0.86753247 0.71186441],0.8253398058252427,[0.81067961 0.84      ],0.775303976339139,[0.93296089 0.61764706],35,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(256, 256)",0.5,0.0001,123,focal,2,False,,Conv1d,,concatenation,64,7
0,0.3569050685447805,0.6329838037490845,0.6329357595543587,[0.62873674 0.63713478],0.6352641652786302,[0.66803279 0.60249554],0.6349034608378871,[0.59380692 0.676     ],0.1951753705739975,0.7224199175834656,0.6865991763898421,[0.79255319 0.58064516],0.6996011602610588,[0.75634518 0.64285714],0.6809069996713769,[0.83240223 0.52941176],35,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(256, 256)",0.5,0.0005,1,focal,2,False,,Conv1d,,concatenation,64,8
0,0.3157125553664039,0.6358436942100525,0.6358406822296054,[0.63479924 0.63688213],0.6374460531303765,[0.66800805 0.60688406],0.637367941712204,[0.60473588 0.67      ],0.22354171574115753,0.6370106935501099,0.5831588132635253,[0.73298429 0.43333333],0.5948275862068966,[0.68965517 0.5       ],0.5822379231022017,[0.78212291 0.38235294],35,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(256, 256)",0.5,0.0005,12,focal,2,False,,Conv1d,,concatenation,64,8
0,0.44765740808318644,0.6062917113304138,0.6062215677987285,[0.60096618 0.61147695],0.6085911745572294,[0.6399177  0.57726465],0.6082422586520948,[0.56648452 0.65      ],0.19225062131881715,0.6761565804481506,0.6560124836891454,[0.73925501 0.57276995],0.6541865394806572,[0.75882353 0.54954955],0.6593548033738634,[0.72067039 0.59803922],35,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(256, 256)",0.5,0.0005,123,focal,2,False,,Conv1d,,concatenation,64,8
0,0.3496434302891002,0.6253575086593628,0.6250903723751088,[0.61508325 0.63509749],0.6289876039126987,[0.66525424 0.59272097],0.6279744990892533,[0.571949 0.684   ],0.18918120563030244,0.7046263217926025,0.6813144770103163,[0.767507   0.59512195],0.6809479655285262,[0.76966292 0.59223301],0.6817011720889473,[0.76536313 0.59803922],35,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(256, 256)",0.1,0.001,1,focal,2,False,,Conv1d,,concatenation,64,9
0,0.2820797799264683,0.6425166726112366,0.6425153830844686,[0.64183381 0.64319696],0.6440644611112325,[0.6746988  0.61343013],0.6440109289617486,[0.61202186 0.676     ],0.21040897965431213,0.6370106935501099,0.5669869470630892,[0.74111675 0.39285714],0.5895348837209302,[0.67906977 0.5       ],0.5695859349326323,[0.81564246 0.32352941],35,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(256, 256)",0.1,0.001,12,focal,2,False,,Conv1d,,concatenation,64,9
0,0.3316420176449944,0.647283136844635,0.6472802419501413,[0.64828897 0.64627151],0.6484900123071098,[0.67793241 0.61904762],0.6485646630236794,[0.62112933 0.676     ],0.19736098051071166,0.6975088715553284,0.6494973952601071,[0.77922078 0.51977401],0.6707443365695793,[0.72815534 0.61333333],0.6444846094862526,[0.83798883 0.45098039],35,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(256, 256)",0.1,0.001,123,focal,2,False,,Conv1d,,concatenation,64,9
