,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,shift,window_size,n,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,include_features_in_input,embedding_dim,num_features,log_signature,num_heads,num_layers,lstm_hidden_dim,ffn_hidden_dim,dropout_rate,learning_rate,seed,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,,0.6939421892166138,0.6607122334366449,[0.76689381 0.55453066],0.662257158775551,[0.7595613  0.56495301],0.6594275738906024,[0.77436927 0.54448588],,0.8680415153503418,0.8585268520310321,[0.89521567 0.82183803],0.8633473372646601,[0.88005051 0.84664417],0.8546783926611226,[0.91091266 0.79844413],80,3,5,26,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,384,"(512, 512)",0.1,0.001,123,focal,2,True,5,Conv1d,,concatenation,64,6
0,,0.6926374435424805,0.667835770794166,[0.7586005  0.57707104],0.6657160850743526,[0.77505235 0.55637982],0.6710966253733022,[0.74283257 0.59936068],,0.8921687602996826,0.8855431194197643,[0.91308127 0.85800497],0.8861362315647356,[0.91090397 0.8613685 ],0.8849683070961357,[0.915269   0.85466761],80,3,5,26,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,384,"(512, 512)",0.1,0.0001,1,focal,2,True,5,Conv1d,,concatenation,64,7
0,,0.6926374435424805,0.6595733718193197,[0.76566719 0.55347956],0.6609311985879252,[0.75908707 0.56277533],0.6584241335236298,[0.77236239 0.54448588],,0.8763984441757202,0.8682598447267662,[0.90100399 0.8355157 ],0.870513746939376,[0.89319349 0.847834  ],0.8662512550691855,[0.9089523  0.82355021],80,3,5,26,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,384,"(512, 512)",0.1,0.0001,12,focal,2,True,5,Conv1d,,concatenation,64,7
0,,0.6659832000732422,0.6409352248651521,[0.73577116 0.54609929],0.6389796264193681,[0.75743777 0.52052149],0.6448151787939959,[0.71530963 0.57432072],,0.8687154650688171,0.8602398763785105,[0.89465715 0.8258226 ],0.8619452419554157,[0.88850698 0.8353835 ],0.8586855640009032,[0.90089305 0.81647808],80,3,5,26,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,384,"(512, 512)",0.1,0.0001,123,focal,2,True,5,Conv1d,,concatenation,64,7
0,,0.6876048445701599,0.6633157527551843,[0.75374669 0.57288481],0.6610761481319198,[0.77305606 0.54909624],0.6671031786278123,[0.73537844 0.59882792],,0.887046754360199,0.8805913716791723,[0.90835521 0.85282754],0.8796597996244586,[0.91214584 0.84717376],0.8815766164474679,[0.90459595 0.85855728],80,3,5,26,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,384,"(512, 512)",0.1,0.0005,1,focal,2,True,5,Conv1d,,concatenation,64,8
0,,0.6848089694976807,0.6511715448239518,[0.75949367 0.54284942],0.6523207276573556,[0.75359865 0.55104281],0.6501888810956387,[0.76548165 0.53489611],,0.8704677224159241,0.8627989449446258,[0.89523602 0.83036187],0.8625799995599707,[0.89611523 0.82904477],0.8630208479353707,[0.89435853 0.83168317],80,3,5,26,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,384,"(512, 512)",0.1,0.0005,12,focal,2,True,5,Conv1d,,concatenation,64,8
0,,0.6741845011711121,0.6428550754839307,[0.74863388 0.53707627],0.642487527222242,[0.75100981 0.53396524],0.6432483485505369,[0.74627294 0.54022376],,0.8715460300445557,0.8642137409535372,[0.89576725 0.83266023],0.8633007151250855,[0.89960457 0.82699686],0.8651821163539635,[0.89196254 0.8384017 ],80,3,5,26,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,384,"(512, 512)",0.1,0.0005,123,focal,2,True,5,Conv1d,,concatenation,64,8
0,,0.6609506011009216,0.6370773595641983,[0.73015873 0.54399599],0.6351317461038295,[0.75653243 0.51373106],0.641806003260131,[0.70556193 0.57805008],,0.8639978170394897,0.85627272123518,[0.88959405 0.82295139],0.8552940238523898,[0.89379947 0.81678858],0.8573179660592938,[0.88542801 0.82920792],80,3,5,26,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,384,"(512, 512)",0.2,0.001,1,focal,2,True,5,Conv1d,,concatenation,64,9
0,,0.6780987977981567,0.6543601974887405,[0.74494166 0.56377873],0.6521114359976861,[0.76819982 0.53602305],0.6588081275996736,[0.72305046 0.5945658 ],,0.847957968711853,0.8388145349957912,[0.87720444 0.80042463],0.8389070673567462,[0.87682263 0.8009915 ],0.8387225698641059,[0.87758658 0.79985856],80,3,5,26,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,384,"(512, 512)",0.2,0.001,12,focal,2,True,5,Conv1d,,concatenation,64,9
0,,0.6874184608459473,0.6586298205169621,[0.75776398 0.55949567],0.6577116848051527,[0.7636099  0.55181347],0.6597008298182245,[0.75200688 0.56739478],,0.8588758707046509,0.848790799311784,[0.88784146 0.80974014],0.853210824100487,[0.87352445 0.8328972 ],0.845235758912108,[0.90263559 0.78783593],80,3,5,26,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,384,"(512, 512)",0.2,0.001,123,focal,2,True,5,Conv1d,,concatenation,64,9
