,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,shift,window_size,n,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,include_features_in_input,embedding_dim,num_features,log_signature,swnu_hidden_dim,lstm_hidden_dim,ffn_hidden_dim,dropout_rate,learning_rate,seed,BiLSTM,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,,0.6931966543197632,0.6705368716472757,[0.75694034 0.5841334 ],0.6679764161683253,[0.78045067 0.55550216],0.6753407221899087,[0.73480505 0.6158764 ],,0.7430920600891113,0.7279738820096586,[0.79210297 0.6638448 ],0.7277620547740693,[0.7933144  0.66220971],0.7281916035832976,[0.79089523 0.66548798],20,3,5,6,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)",384,"(512, 512)",0.1,0.0001,12,True,focal,2,True,5,Conv1d,,concatenation,64,7
0,,0.7058714032173157,0.6841477420774005,[0.76698169 0.60131379],0.6813221795012119,[0.7908039  0.57184046],0.6892715812613335,[0.74455275 0.63399041],,0.7430920600891113,0.7297064211625712,[0.78985667 0.66955617],0.7282674020713442,[0.79973208 0.65680272],0.7315184419303865,[0.78022217 0.68281471],20,3,5,6,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)",384,"(512, 512)",0.1,0.0001,123,True,focal,2,True,5,Conv1d,,concatenation,64,7
0,,0.6844361424446106,0.6672877479500601,[0.74282242 0.59175307],0.6652562396361903,[0.78998384 0.54052863],0.67733874387198,[0.70097477 0.65370272],,0.7495619058609009,0.7393715331474665,[0.79090704 0.68783602],0.7367051659092028,[0.81816065 0.65524968],0.7446218417622327,[0.76541059 0.7238331 ],20,3,5,6,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)",384,"(512, 512)",0.1,0.0005,1,True,focal,2,True,5,Conv1d,,concatenation,64,8
0,,0.6848089694976807,0.6707134463656202,[0.7388417  0.60258519],0.6699559881437449,[0.80080348 0.53910849],0.6843923056996085,[0.68577982 0.68300479],,0.744439959526062,0.7355940904786065,[0.78395624 0.68723194],0.7330386374165176,[0.82198327 0.644094  ],0.7429275176171817,[0.74929209 0.73656294],20,3,5,6,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)",384,"(512, 512)",0.1,0.0005,12,True,focal,2,True,5,Conv1d,,concatenation,64,8
0,,0.6999068260192871,0.6771285781568894,[0.7628866  0.59137056],0.6745423461390194,[0.78437311 0.56471159],0.6816085777617025,[0.74254587 0.62067128],,0.7581884264945984,0.7447050070609624,[0.80337571 0.6860343 ],0.7438280055751929,[0.80851533 0.67914068],0.7456851653363985,[0.79830102 0.69306931],20,3,5,6,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)",384,"(512, 512)",0.1,0.0005,123,True,focal,2,True,5,Conv1d,,concatenation,64,8
0,,0.6898415684700012,0.6742148555246582,[0.74556575 0.60286396],0.6724322720913589,[0.79882045 0.5460441 ],0.6859250744160357,[0.69896789 0.67288226],,0.7599406838417053,0.7499072981628181,[0.8       0.6998146],0.7471414269684815,[0.82568382 0.66859903],0.7549767594614271,[0.77586582 0.73408769],20,3,5,6,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)",384,"(512, 512)",0.2,0.001,1,True,focal,2,True,5,Conv1d,,concatenation,64,9
0,,0.6868592500686646,0.6702230417983843,[0.74429224 0.59615385],0.6682305066110913,[0.79331603 0.54314498],0.6808017167009623,[0.70097477 0.66062866],,0.7614233493804932,0.7534151054816698,[0.7978529  0.70897731],0.7506123039258727,[0.83865546 0.66256915],0.7616063283522863,[0.76083642 0.76237624],20,3,5,6,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)",384,"(512, 512)",0.2,0.001,12,True,focal,2,True,5,Conv1d,,concatenation,64,9
0,,0.6974837183952332,0.6791032501750811,[0.75590314 0.60230336],0.6763120431575618,[0.79500158 0.5576225 ],0.687619215344611,[0.72047018 0.65476825],,0.7587276101112366,0.7472191847093913,[0.8011553  0.69328307],0.7450207969558695,[0.8175017  0.67253989],0.7503981638634349,[0.78544979 0.71534653],20,3,5,6,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)",384,"(512, 512)",0.2,0.001,123,True,focal,2,True,5,Conv1d,,concatenation,64,9
0,,0.6876048445701599,0.665915102530469,[0.75103981 0.5807904 ],0.6633340716491942,[0.77928483 0.54738331],0.671655432981578,[0.72477064 0.61854022],,0.7436312437057495,0.7291227200214261,[0.79181261 0.66643283],0.7284595474161195,[0.79581958 0.66109951],0.7298493424038237,[0.78784579 0.6718529 ],20,3,5,6,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)",384,"(512, 512)",0.2,0.0001,1,True,focal,2,True,5,Conv1d,,concatenation,64,10
0,,0.6961789131164551,0.6744182011728012,[0.75859005 0.59024635],0.6717008153213689,[0.7846201  0.55878153],0.6798489103977164,[0.73423165 0.62546617],,0.7434964179992676,0.7288908152938813,[0.79181709 0.66596454],0.7282953052524331,[0.79538462 0.661206  ],0.7295367496889092,[0.78828142 0.67079208],20,3,5,6,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)",384,"(512, 512)",0.2,0.0001,12,True,focal,2,True,5,Conv1d,,concatenation,64,10
0,,0.705685019493103,0.6843107295562202,[0.76645467 0.60216679],0.6814260923869262,[0.79162848 0.57122371],0.6897434021447459,[0.74283257 0.63665424],,0.7468661665916443,0.7331329313802015,[0.79367172 0.67259414],0.7320259402585214,[0.80070938 0.6633425 ],0.7344320971755514,[0.7867567 0.6821075],20,3,5,6,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)",384,"(512, 512)",0.2,0.0001,123,True,focal,2,True,5,Conv1d,,concatenation,64,10
0,,0.6877912282943726,0.67082514933039,[0.74555674 0.59609356],0.6686925764875847,[0.79289176 0.54449339],0.6810263242144159,[0.70355505 0.6584976 ],,0.7474052906036377,0.7380369268439153,[0.78757651 0.68849734],0.7353530374332724,[0.82108249 0.64962359],0.7445087738540167,[0.75669789 0.73231966],20,3,5,6,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)",384,"(512, 512)",0.2,0.0005,1,True,focal,2,True,5,Conv1d,,concatenation,64,11
