,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,include_features_in_input,embedding_dim,num_features,log_signature,num_heads,num_layers,ffn_hidden_dim,dropout_rate,learning_rate,seed,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,,0.6855545043945312,0.6585801036856654,[0.75454678 0.56261343],0.657003192933769,[0.76602659 0.5479798 ],0.660728021608755,[0.74340596 0.57805008],,0.7657366394996643,0.7488642408468492,[0.81395847 0.68377001],0.7522627209863813,[0.80025258 0.70427286],0.7462845869955885,[0.82814202 0.66442716],20,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,"(512, 512)",0.2,0.001,12,focal,2,True,5,Conv1d,,concatenation,64,9
0,,0.6958061456680298,0.6759831214934512,[0.75612672 0.59583952],0.6731623358354117,[0.78963795 0.55668672],0.6831301962921508,[0.72534404 0.64091636],,0.7511793971061707,0.7390898565152466,[0.79525288 0.68292683],0.7370820737520238,[0.81016949 0.66399466],0.7419229616274631,[0.78087563 0.7029703 ],20,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,"(512, 512)",0.2,0.001,123,focal,2,True,5,Conv1d,,concatenation,64,9
0,,0.6937558054924011,0.6706858209742843,[0.75784819 0.58352345],0.6681881101687308,[0.77979982 0.5565764 ],0.6751555985542027,[0.73709862 0.61321257],,0.8413532972335815,0.8336753825780501,[0.86941085 0.79793991],0.8307332660566491,[0.88602442 0.77544211],0.8375955108035308,[0.85340884 0.82178218],20,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,"(512, 512)",0.2,0.0001,1,focal,2,True,5,Conv1d,,concatenation,64,10
0,,0.6941286325454712,0.674228247387257,[0.75474518 0.59371131],0.6714512701003309,[0.78832345 0.55457909],0.6813479230716593,[0.72391055 0.6387853 ],,0.8413532972335815,0.8351425496631822,[0.86714076 0.80314434],0.8309667316753104,[0.89995314 0.76198032],0.8428233996346706,[0.8366369 0.8490099],20,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,"(512, 512)",0.2,0.0001,12,focal,2,True,5,Conv1d,,concatenation,64,10
0,,0.6730661988258362,0.6519659012602326,[0.73766078 0.56627102],0.6497435955155406,[0.77110694 0.52838025],0.6585056978977775,[0.70699541 0.61001598],,0.8453969359397888,0.8379932553613995,[0.87262632 0.80336019],0.8349114185917295,[0.89012234 0.7797005 ],0.8421527713806947,[0.85580484 0.82850071],20,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,"(512, 512)",0.2,0.0001,123,focal,2,True,5,Conv1d,,concatenation,64,10
0,,0.6747437119483948,0.6581504975826973,[0.73346571 0.58283529],0.6567590069483449,[0.78489703 0.52862099],0.668900344219988,[0.68836009 0.6494406 ],,0.8211349248886108,0.8136801193732582,[0.85094912 0.77641112],0.8100149999432725,[0.87847866 0.74155134],0.8199013074285616,[0.82509257 0.81471004],20,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,"(512, 512)",0.2,0.0005,1,focal,2,True,5,Conv1d,,concatenation,64,11
0,,0.6831313967704773,0.657750710878848,[0.75095224 0.56454918],0.6557428135390917,[0.76782504 0.54366058],0.6609560658233664,[0.73480505 0.58710709],,0.8150694370269775,0.8029908921347695,[0.85177182 0.75420996],0.8046794256585569,[0.84501608 0.76434277],0.8014893770081493,[0.85863646 0.74434229],20,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,"(512, 512)",0.2,0.0005,12,focal,2,True,5,Conv1d,,concatenation,64,11
0,,0.6945013999938965,0.6737848159923601,[0.75599226 0.59157737],0.6710115810254216,[0.78631155 0.55571161],0.6801582135019282,[0.72792431 0.63239212],,0.7909421920776367,0.7808245695654679,[0.82791523 0.73373391],0.7783911229184861,[0.84373587 0.71304638],0.7841673426607683,[0.81267698 0.75565771],20,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,"(512, 512)",0.2,0.0005,123,focal,2,True,5,Conv1d,,concatenation,64,11
0,,0.6879776120185852,0.6730873392010833,[0.74285714 0.60331754],0.6717264459548741,[0.80013236 0.54332053],0.685721927192035,[0.69323394 0.67820991],,0.746461808681488,0.7378058925053946,[0.78544542 0.69016636],0.7352399819593749,[0.82447318 0.64600678],0.7453758845561252,[0.74994555 0.74080622],20,15,4,gaussian_random_projection,17,8,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,6,1,"(256, 256)",0.1,0.001,1,focal,2,True,5,Conv1d,,concatenation,64,12
0,,0.680335521697998,0.6582450835500369,[0.74513301 0.57135716],0.6558311412568835,[0.77352669 0.53813559],0.6638502264251465,[0.71875    0.60895045],,0.7351394891738892,0.7209673196464486,[0.78385216 0.65808248],0.7198011876213315,[0.79177778 0.6478246 ],0.7223770401902498,[0.77608364 0.66867044],20,15,4,gaussian_random_projection,17,8,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,6,1,"(256, 256)",0.1,0.001,12,focal,2,True,5,Conv1d,,concatenation,64,12
