,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,add_time_in_path,num_features,embedding_dim,log_signature,swnu_hidden_dim,ffn_hidden_dim,dropout_rate,learning_rate,seed,BiLSTM,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,0.27340811578666463,0.5986654162406921,0.5822405232245206,[0.49940547 0.66507558],0.6356788693653752,[0.71917808 0.55217966],0.6092568306010928,[0.38251366 0.836     ],0.24099260270595552,0.6263344883918762,0.5968436154949784,[0.70588235 0.48780488],0.5966510308716046,[0.70786517 0.48543689],0.5970533464782561,[0.70391061 0.49019608],35,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)","(128, 128)",0.5,0.0001,12,False,focal,2,False,,Conv1d,,concatenation,64,7
0,0.24728758194867304,0.5986654162406921,0.5764973374594002,[0.47960445 0.67339022],0.6481086087549965,[0.74615385 0.55006337],0.6106848816029145,[0.35336976 0.868     ],0.24304894208908082,0.6370106935501099,0.616490044958253,[0.70520231 0.52777778],0.6152694610778443,[0.73053892 0.5       ],0.6201938876109103,[0.68156425 0.55882353],35,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)","(128, 128)",0.5,0.0001,123,False,focal,2,False,,Conv1d,,concatenation,64,7
0,0.28225821168983684,0.631077229976654,0.6203913317904481,[0.55670103 0.68408163],0.6639655172413793,[0.75       0.57793103],0.640311475409836,[0.44262295 0.838     ],0.22025067806243898,0.6156583428382874,0.5789210789210789,[0.7032967  0.45454545],0.580320945945946,[0.69189189 0.46875   ],0.5781301347354584,[0.7150838  0.44117647],35,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)","(128, 128)",0.5,0.0005,1,False,focal,2,False,,Conv1d,,concatenation,64,8
0,0.49003344423630657,0.5958055257797241,0.5918707423067888,[0.55179704 0.63194444],0.6078564695337733,[0.65743073 0.55828221],0.6017049180327869,[0.47540984 0.728     ],0.26065711975097655,0.7117437720298767,0.6659916354831609,[0.78961039 0.54237288],0.6889320388349515,[0.73786408 0.64      ],0.659875123233651,[0.84916201 0.47058824],35,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)","(128, 128)",0.5,0.0005,12,False,focal,2,False,,Conv1d,,concatenation,64,8
0,0.5874912335592157,0.5424213409423828,0.5424176111785618,[0.54110899 0.54372624],0.5437662205114746,[0.5694165  0.51811594],0.5437413479052824,[0.5154827 0.572    ],0.25661797523498536,0.6512455344200134,0.6474910394265233,[0.68387097 0.61111111],0.6612468193384224,[0.80916031 0.51333333],0.6735403658670172,[0.59217877 0.75490196],35,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)","(128, 128)",0.5,0.0005,123,False,focal,2,False,,Conv1d,,concatenation,64,8
0,0.3536137763191672,0.6148713231086731,0.6010866209327019,[0.52693208 0.67524116],0.6511105235325225,[0.73770492 0.56451613],0.6249180327868853,[0.40983607 0.84      ],0.22177973687648772,0.6370106935501099,0.6202702702702703,[0.7        0.54054054],0.6195652173913043,[0.73913043 0.5       ],0.6265198816956951,[0.66480447 0.58823529],35,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)","(128, 128)",0.1,0.001,1,False,focal,2,False,,Conv1d,,concatenation,64,9
0,0.6782089804901796,0.6434699892997742,0.6339696223316913,[0.575      0.69293924],0.6760470928813673,[0.76435045 0.58774373],0.6524189435336976,[0.46083789 0.844     ],0.41222078800201417,0.6832740306854248,0.6711289368137288,[0.73432836 0.60792952],0.6702307692307692,[0.78846154 0.552     ],0.6818107131120605,[0.68715084 0.67647059],35,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)","(128, 128)",0.1,0.001,12,False,focal,2,False,,Conv1d,,concatenation,64,9
0,0.49707234256407795,0.5986654162406921,0.5977515276878334,[0.57857858 0.61692448],0.6040827304767205,[0.64222222 0.56594324],0.6022058287795993,[0.52641166 0.678     ],0.22891498506069183,0.6476868391036987,0.6243772025762547,[0.71794872 0.53080569],0.623159803712396,[0.73255814 0.51376147],0.6264651111841385,[0.70391061 0.54901961],35,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)","(128, 128)",0.1,0.001,123,False,focal,2,False,,Conv1d,,concatenation,64,9
0,0.31692175830111785,0.6339371204376221,0.6306473500825234,[0.59578947 0.66550523],0.6476209168436933,[0.70573566 0.58950617],0.6397413479052824,[0.5154827 0.764    ],0.24469130039215087,0.6334519386291504,0.5169484453494,[0.75417661 0.27972028],0.5730691056910568,[0.65833333 0.48780488],0.5393799978091796,[0.88268156 0.19607843],35,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)","(128, 128)",0.1,0.0001,1,False,focal,2,False,,Conv1d,,concatenation,64,10
0,0.5512083277982824,0.6186844706535339,0.6126435508289946,[0.56427015 0.66101695],0.6377132153674478,[0.70189702 0.57352941],0.6258834244080146,[0.47176685 0.78      ],0.4500974118709564,0.6619216799736023,0.6590023631602479,[0.69055375 0.62745098],0.675500408496732,[0.828125   0.52287582],0.6882462482199584,[0.59217877 0.78431373],35,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)","(128, 128)",0.1,0.0001,12,False,focal,2,False,,Conv1d,,concatenation,64,10
0,0.30991508855539207,0.5986654162406921,0.5984887950636275,[0.59006816 0.60690943],0.6015340480255589,[0.63389121 0.56917688],0.6009562841530054,[0.55191257 0.65      ],0.21084012985229492,0.6690391302108765,0.6414094981955899,[0.74094708 0.54187192],0.6417216721672168,[0.73888889 0.54455446],0.6411162230255231,[0.74301676 0.53921569],35,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)","(128, 128)",0.1,0.0001,123,False,focal,2,False,,Conv1d,,concatenation,64,10
0,0.3418505665133981,0.621544361114502,0.6084264111168676,[0.53675613 0.6800967 ],0.6581269607585397,[0.74675325 0.56950067],0.631471766848816,[0.41894353 0.844     ],0.2270673155784607,0.6263344883918762,0.5968436154949784,[0.70588235 0.48780488],0.5966510308716046,[0.70786517 0.48543689],0.5970533464782561,[0.70391061 0.49019608],35,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)","(128, 128)",0.1,0.0005,1,False,focal,2,False,,Conv1d,,concatenation,64,11
0,0.5258466145571541,0.5938989520072937,0.5912149553228392,[0.55809129 0.62433862],0.6032761962677207,[0.64819277 0.55835962],0.5989908925318761,[0.48998179 0.708     ],0.2861640453338623,0.690391480922699,0.6810858760452405,[0.73556231 0.62660944],0.6819592875318066,[0.80666667 0.55725191],0.6958319640705444,[0.67597765 0.71568627],35,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)","(128, 128)",0.1,0.0005,12,False,focal,2,False,,Conv1d,,concatenation,64,11
0,0.7179787158966064,0.5824595093727112,0.5798290279393368,[0.54658385 0.6130742 ],0.5910720790456243,[0.63309353 0.54905063],0.5874371584699454,[0.48087432 0.694     ],0.27342178821563723,0.754448413848877,0.7361502347417841,[0.8056338  0.66666667],0.7348214285714285,[0.8125     0.65714286],0.73767663489977,[0.79888268 0.67647059],35,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)","(128, 128)",0.1,0.0005,123,False,focal,2,False,,Conv1d,,concatenation,64,11
0,0.3684041500091553,0.5881792306900024,0.5582606796949326,[0.44329897 0.67322239],0.6495358907574734,[0.75770925 0.54136253],0.6016484517304189,[0.3132969 0.89     ],0.21767095029354094,0.6583629846572876,0.6516528925619834,[0.7        0.60330579],0.6578774062816617,[0.79432624 0.52142857],0.6706922992660751,[0.62569832 0.71568627],35,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)","(256, 256)",0.5,0.001,1,False,focal,2,False,,Conv1d,,concatenation,64,12
0,0.43631983153960285,0.6816015243530273,0.6813579977445524,[0.67254902 0.69016698],0.6859182039245072,[0.72823779 0.64359862],0.6843861566484517,[0.62477231 0.744     ],0.2898947179317474,0.6370106935501099,0.6190590111642743,[0.70175439 0.53636364],0.6180981595092024,[0.73619632 0.5       ],0.6244112170007667,[0.67039106 0.57843137],35,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)","(256, 256)",0.5,0.001,12,False,focal,2,False,,Conv1d,,concatenation,64,12
0,0.5989916482392479,0.5757864713668823,0.5731783698477704,[0.53981386 0.60654288],0.5839917651786866,[0.62440191 0.54358162],0.5807049180327869,[0.47540984 0.686     ],0.1913010686635971,0.7580071091651917,0.7394458383331515,[0.80898876 0.66990291],0.7385104302477183,[0.81355932 0.66346154],0.7404699309891555,[0.80446927 0.67647059],35,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)","(256, 256)",0.5,0.001,123,False,focal,2,False,,Conv1d,,concatenation,64,12
0,0.29589712795089274,0.6081982851028442,0.6015001317121189,[0.54983571 0.65316456],0.6272619716050373,[0.68956044 0.5649635 ],0.6155974499089254,[0.4571949 0.774    ],0.23429838418960572,0.6014235019683838,0.5395599250936329,[0.70833333 0.37078652],0.5488125802310655,[0.66341463 0.43421053],0.5416529740387775,[0.75977654 0.32352941],35,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)","(256, 256)",0.5,0.0001,1,False,focal,2,False,,Conv1d,,concatenation,64,13
0,0.2901974066215403,0.5967588424682617,0.5809092497532549,[0.49940828 0.66241022],0.6319833279494633,[0.71283784 0.55112882],0.607167577413479,[0.38433515 0.83      ],0.24106529355049133,0.6263344883918762,0.5968436154949784,[0.70588235 0.48780488],0.5966510308716046,[0.70786517 0.48543689],0.5970533464782561,[0.70391061 0.49019608],35,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)","(256, 256)",0.5,0.0001,12,False,focal,2,False,,Conv1d,,concatenation,64,13
0,0.4160538087872898,0.5719733238220215,0.5707500011391962,[0.59366516 0.54783484],0.5708260977424957,[0.58992806 0.55172414],0.5707249544626594,[0.59744991 0.544     ],0.19997323751449586,0.7046263217926025,0.6813144770103163,[0.767507   0.59512195],0.6809479655285262,[0.76966292 0.59223301],0.6817011720889473,[0.76536313 0.59803922],35,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)","(256, 256)",0.5,0.0001,123,False,focal,2,False,,Conv1d,,concatenation,64,13
