,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,hidden_dim,dropout_rate,learning_rate,seed,loss_function,gamma,k_fold,n_splits,batch_size,model_id,input_dim
0,,0.6458527445793152,0.6150772360449779,[0.72391747 0.50623701],0.6140538246531094,[0.73394225 0.4941654 ],0.6165380016667237,[0.71416284 0.51891316],,0.7843375205993652,0.7723419216287295,[0.82459987 0.72008397],0.7713317338054682,[0.83005959 0.71260388],0.7734671365197945,[0.8192115  0.72772277],"(128, 128)",0.1,0.0005,123,focal,2,True,5,64,0.4,768
0,,0.6464119553565979,0.6179642595894306,[0.72221409 0.51371443],0.616580826549529,[0.73810236 0.49505929],0.6204129967789709,[0.70699541 0.53383058],,0.7784067988395691,0.7671533025081422,[0.81834254 0.71596406],0.7652276295133438,[0.83045526 0.7       ],0.7696256774446776,[0.80657809 0.73267327],"(128, 128)",0.1,0.0001,1,focal,2,True,5,64,0.5,768
0,,0.638769805431366,0.6124147954240255,[0.71348315 0.51134644],0.6109843496751108,[0.73656899 0.48539971],0.6160121100184268,[0.69180046 0.54022376],,0.7785415649414062,0.768731504868909,[0.81636303 0.72109998],0.7659108222281581,[0.83838384 0.69343781],0.7732651085066811,[0.7954694  0.75106082],"(128, 128)",0.1,0.0001,12,focal,2,True,5,64,0.5,768
0,,0.6458527445793152,0.6165541475874754,[0.72254673 0.51056157],0.6152869314808218,[0.73630952 0.49426434],0.6186295779914268,[0.70928899 0.52797017],,0.7766545414924622,0.7647638928140248,[0.81765159 0.7118762 ],0.7632989692133685,[0.82629004 0.7003079 ],0.7665124973928142,[0.8091919 0.7238331],"(128, 128)",0.1,0.0001,123,focal,2,True,5,64,0.5,768
0,,0.6521901488304138,0.6227387136918953,[0.72814685 0.51733057],0.621495163565487,[0.74022512 0.50276521],0.6246107363155142,[0.71645642 0.53276505],,0.7920204997062683,0.7813354689808085,[0.82967215 0.73299879],0.7794075085543737,[0.84109221 0.71772281],0.7837486139938635,[0.81855805 0.74893918],"(256, 256)",0.1,0.001,1,focal,2,True,5,64,0.6,768
0,,0.6447343826293945,0.6151712912241342,[0.72183304 0.50850954],0.6139451825811233,[0.73513674 0.49275362],0.6171543167410419,[0.70900229 0.52530634],,0.7924248576164246,0.7821261381052007,[0.82949513 0.73475715],0.779878116924095,[0.84350372 0.71625252],0.7850937600994752,[0.81594424 0.75424328],"(256, 256)",0.1,0.001,12,focal,2,True,5,64,0.6,768
0,,0.6501398086547852,0.6211535779602315,[0.72594539 0.51636176],0.6198304076167807,[0.73966082 0.5       ],0.6232799692560351,[0.71272936 0.53383058],,0.7800242900848389,0.767328784476164,[0.82167832 0.71297925],0.7668089235584071,[0.82438062 0.70923723],0.7678773225519335,[0.81899368 0.71676096],"(256, 256)",0.1,0.001,123,focal,2,True,5,64,0.6,768
0,,0.6402609348297119,0.6107597801283046,[0.71791874 0.50360082],0.609541232226926,[0.73225999 0.48682248],0.612852712458393,[0.70412844 0.52157698],,0.7882463932037354,0.7774231923516184,[0.82650469 0.72834169],0.7754760020377345,[0.83826165 0.71269036],0.7798844335066732,[0.81507297 0.7446959 ],"(256, 256)",0.1,0.0005,1,focal,2,True,5,64,0.7,768
0,,0.6361603140830994,0.6092058405674705,[0.71183939 0.5065723 ],0.6078406445113688,[0.73371881 0.48196248],0.6125288224670444,[0.69122706 0.53383058],,0.7894594669342041,0.7791760641910304,[0.82682927 0.73152286],0.7768282322878021,[0.84195078 0.71170569],0.7823582946401806,[0.81224134 0.75247525],"(256, 256)",0.1,0.0005,12,focal,2,True,5,64,0.7,768
0,,0.6452935934066772,0.6183293159124597,[0.71977617 0.51688246],0.6168144176017276,[0.73993339 0.49369544],0.6215214474591018,[0.70068807 0.54235482],,0.7908073663711548,0.78101308867664,[0.82732532 0.73470085],0.7783474970224419,[0.84557653 0.71111846],0.7848731698480238,[0.80984535 0.75990099],"(256, 256)",0.1,0.0005,123,focal,2,True,5,64,0.7,768
0,,0.6456663608551025,0.6150947721373535,[0.72357132 0.50661822],0.6140334948864091,[0.73413986 0.49392713],0.6166407208457767,[0.71330275 0.51997869],,0.7828548550605774,0.7711771492833448,[0.82286971 0.71948459],0.7697824537137181,[0.83081705 0.70874786],0.7728122977216663,[0.81507297 0.73055163],"(256, 256)",0.1,0.0001,1,focal,2,True,5,64,0.8,768
0,,0.6477167010307312,0.6186573199471799,[0.72392638 0.51338826],0.6173502924398316,[0.73793925 0.49676134],0.6208012676386778,[0.71043578 0.53116676],,0.7829896211624146,0.7720821352208214,[0.82194205 0.72222222],0.7700286240531066,[0.83486857 0.70518868],0.7747543622800529,[0.80940971 0.74009901],"(256, 256)",0.1,0.0001,12,focal,2,True,5,64,0.8,768
0,,0.6464119553565979,0.6175424640806921,[0.72262027 0.51246466],0.6162132900196979,[0.73739182 0.49503476],0.6197978272717053,[0.7084289  0.53116676],,0.7863593697547913,0.7754957378495535,[0.82488123 0.72611025],0.7735163452081284,[0.83699552 0.71003717],0.7780202379232228,[0.81311261 0.74292786],"(256, 256)",0.1,0.0001,123,focal,2,True,5,64,0.8,768
0,,0.6646784543991089,0.6393414241941329,[0.73493443 0.54374841],0.6374318598701182,[0.75598666 0.51887706],0.6430735350183046,[0.71502294 0.57112413],,0.7782720327377319,0.76625770216395,[0.81925063 0.71326477],0.7649710090025679,[0.82660754 0.70333448],0.7677515075464356,[0.81202352 0.72347949],"(512, 512)",0.1,0.001,1,focal,2,True,5,64,0.9,768
0,,0.6577818989753723,0.6207239057135341,[0.73927861 0.5021692 ],0.6218669470350484,[0.73241418 0.51131971],0.6198066863235789,[0.74627294 0.49334044],,0.7925596237182617,0.7782603566119504,[0.83456949 0.72195122],0.7809702161847891,[0.82385399 0.73808644],0.776036889714425,[0.84556741 0.70650636],"(512, 512)",0.1,0.001,12,focal,2,True,5,64,0.9,768
