,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,shift,window_size,n,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,embedding_dim,num_features,log_signature,num_heads,num_layers,ffn_hidden_dim,dropout_rate,learning_rate,seed,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,0.3511677664868972,0.6110581755638123,0.6077038145100973,[0.57142857 0.64397906],0.6230726978005516,[0.67493797 0.57120743],0.6167231329690346,[0.49544627 0.738     ],0.22195913195610045,0.6725978851318359,0.6378865979381443,[0.75      0.5257732],0.6422532781228434,[0.73015873 0.55434783],0.6354748603351955,[0.77094972 0.5       ],35,3,5,11,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(512, 512)",0.5,0.001,123,focal,2,False,,Conv1d,,concatenation,64,6
0,0.5329079014413497,0.5643470287322998,0.5495700934228193,[0.46798603 0.63115416],0.5887402330961631,[0.6483871  0.52909337],0.5740601092896175,[0.36612022 0.782     ],0.23179144263267518,0.6583629846572876,0.6290429042904291,[0.73333333 0.52475248],0.6296408839779006,[0.72928177 0.53      ],0.6285190053675102,[0.73743017 0.51960784],35,3,5,11,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(512, 512)",0.5,0.0001,1,focal,2,False,,Conv1d,,concatenation,64,7
0,0.4951195979819578,0.628217339515686,0.6265063540753725,[0.60122699 0.65178571],0.6370121813670201,[0.68531469 0.58870968],0.6327595628415301,[0.53551913 0.73      ],0.39795724153518675,0.6263344883918762,0.6016121845505731,[0.7008547  0.50236967],0.6006774055899297,[0.71511628 0.48623853],0.6033793405630409,[0.68715084 0.51960784],35,3,5,11,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(512, 512)",0.5,0.0001,12,focal,2,False,,Conv1d,,concatenation,64,7
0,0.9846394587965572,0.5681601762771606,0.5673990523139107,[0.54925373 0.58554437],0.5724460814768794,[0.60526316 0.53962901],0.5713661202185792,[0.50273224 0.64      ],0.3655867546796799,0.7259786128997803,0.7055589576103967,[0.78309859 0.62801932],0.7044101731601732,[0.78977273 0.61904762],0.7068956074049731,[0.77653631 0.6372549 ],35,3,5,11,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(512, 512)",0.5,0.0001,123,focal,2,False,,Conv1d,,concatenation,64,7
0,0.47317643200649934,0.6015252470970154,0.5843898573692551,[0.5        0.66877971],0.6410143853969473,[0.728223   0.55380577],0.6123460837887067,[0.38069217 0.844     ],0.25038628578186034,0.6120996475219727,0.5778861923071622,[0.69806094 0.45771144],0.5784770784770785,[0.69230769 0.46464646],0.5774455033410012,[0.70391061 0.45098039],35,3,5,11,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(512, 512)",0.5,0.0005,1,focal,2,False,,Conv1d,,concatenation,64,8
0,0.33777205908999725,0.6320305466651917,0.6244537191615656,[0.57111111 0.67779633],0.6569278116556053,[0.73219373 0.58166189],0.6400619307832422,[0.46812386 0.812     ],0.21942151784896852,0.6548042893409729,0.6290807647819283,[0.72676056 0.53140097],0.6283820346320346,[0.73295455 0.52380952],0.6299430386679812,[0.72067039 0.53921569],35,3,5,11,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(512, 512)",0.5,0.0005,12,focal,2,False,,Conv1d,,concatenation,64,8
0,0.8118575916570776,0.6291706562042236,0.6291652467091063,[0.6277512 0.6305793],0.6308259931167239,[0.66129032 0.60036166],0.6307249544626594,[0.59744991 0.664     ],0.26837076544761657,0.6725978851318359,0.6444994499449945,[0.74444444 0.54455446],0.6451657458563536,[0.74033149 0.55      ],0.6439095191149085,[0.74860335 0.53921569],35,3,5,11,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(512, 512)",0.5,0.0005,123,focal,2,False,,Conv1d,,concatenation,64,8
0,0.3616851971429937,0.6139180064201355,0.6120905720053651,[0.58546571 0.63871543],0.6223569160383464,[0.6682243  0.57648953],0.6184735883424408,[0.52094718 0.716     ],0.2344006836414337,0.6263344883918762,0.5745923266577274,[0.72295515 0.42622951],0.5832407407407407,[0.685      0.48148148],0.5738580348340454,[0.76536313 0.38235294],35,3,5,11,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(512, 512)",0.1,0.001,1,focal,2,False,,Conv1d,,concatenation,64,9
0,0.31429094251464396,0.5910391211509705,0.5888811236724905,[0.55909558 0.61866667],0.599154716981132,[0.64150943 0.5568    ],0.5957231329690346,[0.49544627 0.696     ],0.2275438576936722,0.6014235019683838,0.5475040257648953,[0.7037037  0.39130435],0.553683049393308,[0.66834171 0.43902439],0.5479789681235623,[0.74301676 0.35294118],35,3,5,11,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(512, 512)",0.1,0.001,12,focal,2,False,,Conv1d,,concatenation,64,9
0,0.338365375995636,0.5357483625411987,0.535002917251103,[0.5163853  0.55362053],0.5393419487361366,[0.56768559 0.51099831],0.5387941712204007,[0.47358834 0.604     ],0.23112742304801942,0.6548042893409729,0.5975341454411222,[0.74935401 0.44571429],0.6156809799789251,[0.69711538 0.53424658],0.5962044035491292,[0.81005587 0.38235294],35,3,5,11,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(512, 512)",0.1,0.001,123,focal,2,False,,Conv1d,,concatenation,64,9
