,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,include_features_in_input,embedding_dim,num_features,log_signature,swnu_hidden_dim,ffn_hidden_dim,dropout_rate,learning_rate,seed,BiLSTM,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,,0.6928238868713379,0.6680006440581431,[0.7587822  0.57721909],0.6658873692259979,[0.77511962 0.55665512],0.6712399739971553,[0.74311927 0.59936068],,0.7459226250648499,0.7296150911151196,[0.79601775 0.66321244],0.7306229103321334,[0.79096774 0.67027808],0.7287134258436267,[0.80113265 0.6562942 ],20,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)","(512, 512)",0.1,0.001,123,True,focal,2,True,5,Conv1d,,concatenation,64,6
0,,0.6890959739685059,0.6694161570201771,[0.75007492 0.5887574 ],0.6667911932280597,[0.78562461 0.54795778],0.676862340720357,[0.71760321 0.63612147],,0.7487531900405884,0.7363525371820849,[0.79353124 0.67917384],0.734469358408735,[0.80730223 0.66163649],0.7389441845046439,[0.78022217 0.6976662 ],20,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)","(512, 512)",0.1,0.0001,1,True,focal,2,True,5,Conv1d,,concatenation,64,7
0,,0.686113715171814,0.6655274551023587,[0.74850657 0.58254834],0.6629550659743779,[0.78117207 0.54473806],0.6722311186110961,[0.7184633  0.62599893],,0.7917509078979492,0.7814858642108437,[0.82884679 0.73412494],0.7791896415123027,[0.84332732 0.71505196],0.7845492164270726,[0.81485515 0.75424328],20,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)","(512, 512)",0.1,0.0001,12,True,focal,2,True,5,Conv1d,,concatenation,64,7
0,,0.6958061456680298,0.672083896858302,[0.76028202 0.58388577],0.6697101363890771,[0.77951807 0.5599022 ],0.6759942300078693,[0.74197248 0.61001598],,0.7739587426185608,0.7597203356320041,[0.81821138 0.70122929],0.760528960481772,[0.81441519 0.70664273],0.7589706445517751,[0.82204313 0.69589816],20,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)","(512, 512)",0.1,0.0001,123,True,focal,2,True,5,Conv1d,,concatenation,64,7
0,,0.6760484576225281,0.6482185413313986,[0.74716322 0.54927386],0.6467678790322605,[0.75841701 0.53511875],0.6502183603544598,[0.73623853 0.56419819],,0.7503706812858582,0.734885979261042,[0.79895788 0.67081408],0.7353873581757396,[0.79636442 0.67441029],0.7344121485459683,[0.80156829 0.66725601],20,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)","(512, 512)",0.1,0.0005,1,True,focal,2,True,5,Conv1d,,concatenation,64,8
0,,0.6902143359184265,0.6605084033843809,[0.76093211 0.5600847 ],0.6600586569849587,[0.76356813 0.55654918],0.6609898218658508,[0.75831422 0.56366542],,0.8010513782501221,0.7871655992077518,[0.84152888 0.73280232],0.7902555271224659,[0.82976921 0.75074184],0.7846634011504583,[0.85362666 0.71570014],20,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)","(512, 512)",0.1,0.0005,12,True,focal,2,True,5,Conv1d,,concatenation,64,8
0,,0.6905871629714966,0.6708102313890737,[0.75149701 0.59012346],0.6681359115690746,[0.78634085 0.54993097],0.6781321636126358,[0.71961009 0.63665424],,0.7626364827156067,0.7500632692058076,[0.80612133 0.69400521],0.7486364933476239,[0.81500445 0.68226853],0.751791255999608,[0.79742975 0.70615276],20,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)","(512, 512)",0.1,0.0005,123,True,focal,2,True,5,Conv1d,,concatenation,64,8
0,,0.67940354347229,0.6593074295037595,[0.74205159 0.57656327],0.6569570974195127,[0.77798742 0.53592677],0.666578432546568,[0.70928899 0.62386787],,0.738644003868103,0.7268438316363706,[0.7836179  0.67006976],0.7246089988614641,[0.80343249 0.6457855 ],0.7305044507780274,[0.76475713 0.69625177],20,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)","(512, 512)",0.2,0.001,1,True,focal,2,True,5,Conv1d,,concatenation,64,9
0,,0.6911463141441345,0.6623004846303273,[0.76099812 0.56360284],0.6615195633768747,[0.76574746 0.55729167],0.6631829718025544,[0.75630734 0.5700586 ],,0.776115357875824,0.7589086560884415,[0.82331667 0.69450064],0.7641113561006241,[0.8045738  0.72364891],0.7552816114918894,[0.8429536  0.66760962],20,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)","(512, 512)",0.2,0.001,12,True,focal,2,True,5,Conv1d,,concatenation,64,9
0,,0.685181736946106,0.6670496071002492,[0.74474838 0.58935084],0.6647556958935139,[0.78747204 0.54203936],0.676066629845596,[0.70642202 0.64571124],,0.7437660098075867,0.7315277655234602,[0.78884816 0.67420737],0.7294953735933773,[0.80485041 0.65414034],0.7345071933679972,[0.77346983 0.69554455],20,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)","(512, 512)",0.2,0.001,123,True,focal,2,True,5,Conv1d,,concatenation,64,9
0,,0.6855545043945312,0.6644996760004462,[0.74854673 0.58045262],0.6619406315596806,[0.77957156 0.5443097 ],0.6708168015279115,[0.71989679 0.62173681],,0.7499663233757019,0.7363502322316162,[0.79626579 0.67643468],0.735263517517122,[0.80305716 0.66746988],0.7376159446700497,[0.78958832 0.68564356],20,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)","(512, 512)",0.2,0.0001,1,True,focal,2,True,5,Conv1d,,concatenation,64,10
