,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,shift,window_size,n,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,add_time_in_path,num_features,embedding_dim,log_signature,swnu_hidden_dim,lstm_hidden_dim,ffn_hidden_dim,dropout_rate,learning_rate,seed,BiLSTM,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,0.5786579549312592,0.6015252470970154,0.5979442508710802,[0.6358885 0.56     ],0.600230012984604,[0.60934891 0.59111111],0.5984225865209472,[0.66484517 0.532     ],0.24936472177505492,0.6939501762390137,0.6397435897435897,[0.77948718 0.5       ],0.6673324306025727,[0.72037915 0.61428571],0.6353653193120824,[0.84916201 0.42156863],35,3,5,11,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)",384,"(512, 512)",0.5,0.001,123,True,focal,2,False,,Conv1d,,concatenation,64,6
0,0.3221820540287915,0.6291706562042236,0.6260386643877984,[0.66026201 0.59181532],0.6283723721054268,[0.63422819 0.62251656],0.6262622950819672,[0.68852459 0.564     ],0.20850599110126494,0.690391480922699,0.5801288106483469,[0.79529412 0.3649635 ],0.7006387921022068,[0.68699187 0.71428571],0.5946160587139884,[0.94413408 0.24509804],35,3,5,11,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)",384,"(512, 512)",0.5,0.0001,1,True,focal,2,False,,Conv1d,,concatenation,64,7
0,0.3020235615618089,0.6043851375579834,0.6040166385143586,[0.59193707 0.61609621],0.608156067493417,[0.64316239 0.57314974],0.6071347905282332,[0.54826958 0.666     ],0.23700670897960663,0.5871886014938354,0.5041377631739077,[0.70707071 0.30120482],0.5178931451612903,[0.64516129 0.390625  ],0.5136104721218095,[0.78212291 0.24509804],35,3,5,11,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)",384,"(512, 512)",0.5,0.0001,12,True,focal,2,False,,Conv1d,,concatenation,64,7
0,0.483488472069011,0.6120114326477051,0.6030051039716877,[0.66280033 0.54320988],0.6134142833821781,[0.60790274 0.61892583],0.6062987249544627,[0.72859745 0.484     ],0.19600419998168944,0.7366548180580139,0.679104938271605,[0.815      0.54320988],0.7354449472096531,[0.73755656 0.73333333],0.6709935370796363,[0.91061453 0.43137255],35,3,5,11,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)",384,"(512, 512)",0.5,0.0001,123,True,focal,2,False,,Conv1d,,concatenation,64,7
0,0.4640080525594599,0.5900858044624329,0.5875033835934127,[0.62014134 0.55486542],0.588582807588395,[0.60205832 0.5751073 ],0.587672131147541,[0.63934426 0.536     ],0.23744935691356658,0.7010676264762878,0.6004739336492891,[0.80094787 0.4       ],0.7161576781459822,[0.69547325 0.73684211],0.6093219410669295,[0.94413408 0.2745098 ],35,3,5,11,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)",384,"(512, 512)",0.5,0.0005,1,True,focal,2,False,,Conv1d,,concatenation,64,8
0,0.26669972170801726,0.6434699892997742,0.6357205995959117,[0.68885191 0.58258929],0.6465439231518864,[0.63399694 0.65909091],0.6380491803278688,[0.75409836 0.522     ],0.19528689980506897,0.690391480922699,0.66308347459379,[0.75900277 0.56716418],0.6642524142524142,[0.75274725 0.57575758],0.6620933289516924,[0.76536313 0.55882353],35,3,5,11,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)",384,"(512, 512)",0.5,0.0005,12,True,focal,2,False,,Conv1d,,concatenation,64,8
0,0.565743633929421,0.6081982851028442,0.6022765325636037,[0.65080714 0.55374593],0.6077866620270209,[0.60987261 0.60570071],0.603816029143898,[0.69763206 0.51      ],0.20244662463665009,0.7010676264762878,0.6434010152284264,[0.78680203 0.5       ],0.6786469344608879,[0.72093023 0.63636364],0.6388432467959251,[0.86592179 0.41176471],35,3,5,11,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)",384,"(512, 512)",0.5,0.0005,123,True,focal,2,False,,Conv1d,,concatenation,64,8
0,0.40478576106183667,0.6158245801925659,0.6129757273864987,[0.57977059 0.64618086],0.6269743119966411,[0.67804878 0.57589984],0.6211876138433515,[0.50637523 0.736     ],0.2092689722776413,0.6512455344200134,0.6018218623481781,[0.74210526 0.46153846],0.6132462686567164,[0.70149254 0.525     ],0.5997371015445284,[0.7877095  0.41176471],35,3,5,11,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)",384,"(512, 512)",0.1,0.001,1,True,focal,2,False,,Conv1d,,concatenation,64,9
0,0.3042480998179492,0.6034318804740906,0.5824779750013395,[0.67601246 0.48894349],0.6121170761298149,[0.59047619 0.63375796],0.594264116575592,[0.79052823 0.398     ],0.20834543108940123,0.6512455344200134,0.6142705064993276,[0.73369565 0.49484536],0.6180124223602484,[0.71428571 0.52173913],0.612389089714098,[0.75418994 0.47058824],35,3,5,11,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)",384,"(512, 512)",0.1,0.001,12,True,focal,2,False,,Conv1d,,concatenation,64,9
0,0.5806863465729881,0.5910391211509705,0.58910334664272,[0.61730598 0.56090072],0.5896592924894812,[0.6048951  0.57442348],0.5891183970856102,[0.63023679 0.548     ],0.2520553857088089,0.6761565804481506,0.597845403790202,[0.77530864 0.42038217],0.6473451327433628,[0.69469027 0.6       ],0.6003121919158725,[0.87709497 0.32352941],35,3,5,11,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)",384,"(512, 512)",0.1,0.001,123,True,focal,2,False,,Conv1d,,concatenation,64,9
