,loss,accuracy,f1,f1_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,hidden_dim,dropout_rate,learning_rate,seed,gamma,k_fold,model_id,k,input_dim
0,focal,0.6163568496704102,0.26374755884469114,[0.76225717 0.02898551 0.        ],0.7900783139116624,0.6375464797019958,0.2644772564636218,[0.77904328 0.01438849 0.        ],"[100, 100]",0.5,1e-05,123,2,False,3.19,50,766
0,focal,0.6215613484382629,0.27931616867881,[0.76688252 0.         0.07106599],0.788173612426309,0.6375464797019958,0.2658924089905732,[0.78241005 0.         0.01526718],"[100, 100]",0.5,1e-05,1234,2,False,3.19,50,766
0,focal,0.6877323389053345,0.6254142926027613,[0.77743335 0.56547619 0.53333333],0.816099613904953,0.7044609785079956,0.6218674444585638,[0.7982327  0.57086614 0.4965035 ],"[100, 100]",0.2,0.005,0,2,False,3.2,50,766
0,focal,0.6817843914031982,0.6092825464324109,[0.78009828 0.56062992 0.48711944],0.6472353637218475,0.7053903341293335,0.6281785281855717,[0.7946027  0.6        0.48993289],"[100, 100]",0.2,0.005,1,2,False,3.2,50,766
0,focal,0.6988847851753235,0.6270884189306648,[0.78915663 0.57680251 0.51530612],0.7059066067723667,0.7072490453720093,0.6230670294102866,[0.79882093 0.58508604 0.48529412],"[100, 100]",0.2,0.005,12,2,False,3.2,50,766
0,focal,0.692193329334259,0.6067196039579292,[0.78978622 0.55806938 0.47230321],0.6451070010662079,0.7165427803993225,0.6174974422422613,[0.80986938 0.6        0.44262295],"[100, 100]",0.2,0.005,123,2,False,3.2,50,766
0,focal,0.6661710143089294,0.6021439740278796,[0.76337847 0.55656697 0.48648649],0.5220279044964734,0.6830855011940002,0.6109482343965102,[0.77333333 0.58441558 0.47509579],"[100, 100]",0.2,0.005,1234,2,False,3.2,50,766
0,focal,0.6951673030853271,0.6142894959228454,[0.79340789 0.53399668 0.51546392],0.9404618932920343,0.725836455821991,0.637135177102687,[0.81708185 0.57446809 0.5198556 ],"[100, 100]",0.2,0.001,0,2,False,3.21,50,766
0,focal,0.6981412768363953,0.6219410706341055,[0.79380215 0.5516129  0.52040816],0.9756918163860545,0.7230483293533325,0.6342972233725077,[0.81449275 0.59919028 0.48920863],"[100, 100]",0.2,0.001,1,2,False,3.21,50,766
0,focal,0.7011152505874634,0.6281342672237241,[0.79807692 0.54632588 0.54      ],0.5171593112104079,0.7091078162193298,0.620155977566498,[0.80977054 0.57647059 0.4742268 ],"[100, 100]",0.2,0.001,12,2,False,3.21,50,766
0,focal,0.7078067064285278,0.6311301247280056,[0.80188125 0.54697987 0.54452926],0.6312730014324188,0.7239776849746704,0.6364303989386904,[0.8150289 0.5942623 0.5      ],"[100, 100]",0.2,0.001,123,2,False,3.21,50,766
0,focal,0.7078067064285278,0.6401912457769071,[0.79661017 0.58125    0.54271357],0.7263078374021193,0.7249070405960083,0.6403289335627281,[0.81136198 0.61507937 0.49454545],"[100, 100]",0.2,0.001,1234,2,False,3.21,50,766
0,focal,0.7055761814117432,0.6310794033761814,[0.79647059 0.55405405 0.54271357],0.5833335501306197,0.7165427803993225,0.6299194050538666,[0.80872727 0.59137577 0.48965517],"[100, 100]",0.2,0.0005,0,2,False,3.22,50,766
0,focal,0.7070631980895996,0.619068445452687,[0.80576369 0.53565217 0.51578947],0.5467601804172292,0.7267658114433289,0.6320153130170838,[0.82160625 0.57627119 0.4981685 ],"[100, 100]",0.2,0.0005,1,2,False,3.22,50,766
0,focal,0.6951673030853271,0.621436600695701,[0.79322854 0.5504     0.52068127],0.53659428042524,0.7156133651733398,0.6310849387797088,[0.81037037 0.59491194 0.48797251],"[100, 100]",0.2,0.0005,12,2,False,3.22,50,766
0,focal,0.6944237947463989,0.6208383353341337,[0.78751501 0.559375   0.515625  ],0.799071506542318,0.7295538783073425,0.6502643969772186,[0.81459854 0.61322645 0.5229682 ],"[100, 100]",0.2,0.0005,123,2,False,3.22,50,766
0,focal,0.6936802864074707,0.6213213333551869,[0.79039039 0.53588517 0.53768844],0.5102798062212327,0.7202602028846741,0.6323729383886315,[0.81519357 0.58730159 0.49462366],"[100, 100]",0.2,0.0005,1234,2,False,3.22,50,766
0,focal,0.6817843914031982,0.6048477042826154,[0.78350515 0.53495441 0.49608355],0.533377459820579,0.7193308472633362,0.6345816580850495,[0.81089036 0.59655832 0.4962963 ],"[100, 100]",0.2,0.0001,0,2,False,3.23,50,766
0,focal,0.6862453818321228,0.6184595620427694,[0.78001219 0.54385965 0.53150685],0.6208255729254555,0.7174721360206604,0.6401210651481979,[0.80358476 0.60727273 0.5095057 ],"[100, 100]",0.2,0.0001,1,2,False,3.23,50,766
0,focal,0.6855018734931946,0.6191012715001177,[0.7778454  0.54347826 0.53598015],0.6123480393606073,0.7137546539306641,0.6340480073626595,[0.80478684 0.6042065  0.49315068],"[100, 100]",0.2,0.0001,12,2,False,3.23,50,766
0,focal,0.6936802864074707,0.622042331167324,[0.79100851 0.54853621 0.52658228],0.49754904473529143,0.7156133651733398,0.6279557716133243,[0.81148748 0.58687259 0.48550725],"[100, 100]",0.2,0.0001,123,2,False,3.23,50,766
0,focal,0.6914498209953308,0.6219765461159719,[0.78696439 0.53396524 0.545     ],0.5120357047109043,0.7035316228866577,0.612963634388052,[0.80529023 0.55533981 0.47826087],"[100, 100]",0.2,0.0001,1234,2,False,3.23,50,766
0,focal,0.5107806921005249,0.3411388347261293,[0.70734745 0.         0.31606906],0.7887451438342824,0.49070632457733154,0.31824982140900043,[0.69745958 0.         0.25728988],"[100, 100]",0.2,1e-05,0,2,False,3.24,50,766
0,focal,0.6862453818321228,0.586102666680361,[0.80069124 0.47504303 0.48257373],0.5831097802695107,0.7007434964179993,0.5877671947020312,[0.81702128 0.49684211 0.4494382 ],"[100, 100]",0.2,1e-05,1,2,False,3.24,50,766
0,focal,0.6334572434425354,0.38445681685378635,[0.77206596 0.08022923 0.30107527],0.7842051001156077,0.6440520286560059,0.3697173767921628,[0.7910897  0.08391608 0.23414634],"[100, 100]",0.2,1e-05,12,2,False,3.24,50,766
0,focal,0.6855018734931946,0.5838807674091547,[0.79464805 0.51750381 0.43949045],0.5648181210545933,0.7109665274620056,0.5953067818411147,[0.81629736 0.55452865 0.41509434],"[100, 100]",0.2,1e-05,123,2,False,3.24,50,766
0,focal,0.6706319451332092,0.5609309407662523,[0.79907621 0.41340782 0.47030879],0.5744724168496973,0.6914498209953308,0.575071792893575,[0.81612447 0.44444444 0.46464646],"[100, 100]",0.2,1e-05,1234,2,False,3.24,50,766
0,focal,0.6877323389053345,0.612772329735889,[0.78648975 0.5448505  0.50697674],0.6652151837068445,0.7109665274620056,0.6244344879219875,[0.8076079  0.5708502  0.49484536],"[100, 100]",0.1,0.005,0,2,False,3.25,50,766
0,focal,0.6892193555831909,0.6138436708235105,[0.78674699 0.54716981 0.50761421],0.7334451710476595,0.7174721360206604,0.6291007435077905,[0.81263777 0.5988024  0.47586207],"[100, 100]",0.1,0.005,1,2,False,3.25,50,766
0,focal,0.6832713484764099,0.6177705304991681,[0.78018576 0.54110613 0.5320197 ],0.7036217223195469,0.7118958830833435,0.6305852644087938,[0.79705882 0.60227273 0.49242424],"[100, 100]",0.1,0.005,12,2,False,3.25,50,766
0,focal,0.7033457159996033,0.6263103774121818,[0.79529412 0.55946399 0.52417303],0.8796228354468065,0.7174721360206604,0.620132864234415,[0.81375358 0.58455115 0.46209386],"[100, 100]",0.1,0.005,123,2,False,3.25,50,766
0,focal,0.6765799522399902,0.6149320621379976,[0.77088608 0.55649718 0.51741294],0.5146230915013481,0.6886616945266724,0.613916965680831,[0.78308536 0.59450172 0.46416382],"[100, 100]",0.1,0.005,1234,2,False,3.25,50,766
0,focal,0.6817843914031982,0.6085388808676785,[0.77665277 0.52264808 0.52631579],0.7748333916944616,0.7184014916419983,0.6352154849853484,[0.80816922 0.61471861 0.48275862],"[100, 100]",0.1,0.001,0,2,False,3.26,50,766
0,focal,0.6914498209953308,0.6189200676446607,[0.78888889 0.56652361 0.50134771],0.6685916237971362,0.7100371718406677,0.6225996387602754,[0.80178174 0.60036832 0.46564885],"[100, 100]",0.1,0.001,1,2,False,3.26,50,766
0,focal,0.6862453818321228,0.6180672144740753,[0.78513932 0.5459854  0.52307692],0.7276122710284065,0.7193308472633362,0.6357692848026161,[0.81048689 0.61824953 0.47857143],"[100, 100]",0.1,0.001,12,2,False,3.26,50,766
0,focal,0.6959107518196106,0.6257038542607648,[0.79146341 0.55654762 0.52910053],0.5779304521925309,0.7109665274620056,0.6192450352256295,[0.80557594 0.59459459 0.45756458],"[100, 100]",0.1,0.001,123,2,False,3.26,50,766
0,focal,0.6944237947463989,0.6130215732816064,[0.78823529 0.55226209 0.49856734],0.5699360493351432,0.7174721360206604,0.6248062281332244,[0.81240981 0.57034221 0.49166667],"[100, 100]",0.1,0.001,1234,2,False,3.26,50,766
0,focal,0.6832713484764099,0.6098844374180254,[0.7815534  0.5445705  0.50352941],0.5559640789733213,0.7109665274620056,0.6248840964274601,[0.8047513  0.60990099 0.46      ],"[100, 100]",0.1,0.0005,0,2,False,3.27,50,766
0,focal,0.7033457159996033,0.6267528688196421,[0.79304348 0.54125413 0.545961  ],0.6953643463990268,0.7249070405960083,0.6405758307301451,[0.80969351 0.58895706 0.52307692],"[100, 100]",0.1,0.0005,1,2,False,3.27,50,766
0,focal,0.7048327326774597,0.6278782197355205,[0.79621973 0.56730769 0.52010724],0.8837566235486198,0.7249070405960083,0.6358928385506458,[0.81196581 0.59183673 0.50387597],"[100, 100]",0.1,0.0005,12,2,False,3.27,50,766
0,focal,0.692193329334259,0.6302613957549864,[0.78115313 0.57058824 0.53904282],0.5141609170857597,0.7100371718406677,0.6357038193789971,[0.79548872 0.60628466 0.50533808],"[100, 100]",0.1,0.0005,123,2,False,3.27,50,766
0,focal,0.710780680179596,0.6351473998242123,[0.80023711 0.58034321 0.52486188],0.7375416299876045,0.7156133651733398,0.6341040119500386,[0.80406386 0.58       0.51824818],"[100, 100]",0.1,0.0005,1234,2,False,3.27,50,766
0,focal,0.6899628043174744,0.6193011374334207,[0.78519417 0.54853621 0.52417303],0.5257856565363267,0.7137546539306641,0.6272292090119232,[0.81093058 0.58139535 0.4893617 ],"[100, 100]",0.1,0.0001,0,2,False,3.28,50,766
0,focal,0.6929367780685425,0.6170723215268752,[0.78809524 0.54211332 0.5210084 ],0.5631440614952761,0.7230483293533325,0.6368127337515093,[0.81195335 0.59848485 0.5       ],"[100, 100]",0.1,0.0001,1,2,False,3.28,50,766
0,focal,0.7003717422485352,0.6230917676805235,[0.79646018 0.53781513 0.535     ],0.5198248326778412,0.7184014916419983,0.6243195484739023,[0.81831395 0.5807771  0.4738676 ],"[100, 100]",0.1,0.0001,12,2,False,3.28,50,766
0,focal,0.6750929355621338,0.6144509725234687,[0.76577139 0.55021834 0.52736318],0.5650380604407367,0.7044609785079956,0.6271069512647253,[0.7916042  0.5970696  0.49264706],"[100, 100]",0.1,0.0001,123,2,False,3.28,50,766
0,focal,0.7018587589263916,0.6239102514873438,[0.79881657 0.54394693 0.52896725],0.5621080661521238,0.7211896181106567,0.6334902548003958,[0.81573197 0.58823529 0.4965035 ],"[100, 100]",0.1,0.0001,1234,2,False,3.28,50,766
0,focal,0.5992565155029297,0.3189149367221828,[0.75609756 0.         0.20064725],0.7862580944510067,0.6171003580093384,0.3249552553201273,[0.77744087 0.         0.19742489],"[100, 100]",0.1,1e-05,0,2,False,3.29,50,766
0,focal,0.4104089140892029,0.29875332401239135,[0.58475204 0.         0.31150794],0.7900873387561125,0.38847583532333374,0.27992683777683974,[0.57880184 0.         0.26097867],"[100, 100]",0.1,1e-05,1,2,False,3.29,50,766
0,focal,0.565055787563324,0.42460355800979094,[0.74441687 0.16216216 0.36723164],0.7877354236210093,0.535315990447998,0.3743364837171383,[0.73394495 0.0899654  0.2990991 ],"[100, 100]",0.1,1e-05,12,2,False,3.29,50,766
0,focal,0.6609665155410767,0.4313665576382837,[0.80526919 0.48883049 0.        ],0.6218196784748751,0.696096658706665,0.45363310801925655,[0.82080112 0.5400982  0.        ],"[100, 100]",0.1,1e-05,123,2,False,3.29,50,766
0,focal,0.5360594987869263,0.3425422330547468,[0.71461187 0.         0.31301483],0.7884579125572654,0.5315985083580017,0.3259317184355375,[0.72457627 0.         0.25321888],"[100, 100]",0.1,1e-05,1234,2,False,3.29,50,766
0,focal,0.613382875919342,0.5042173230251663,[0.73830156 0.24737945 0.52697095],0.5873383844600004,0.6161710023880005,0.4926448972203598,[0.74736101 0.26771654 0.46285714],"[100, 100, 100]",0.5,0.005,0,2,False,3.3,50,766
