,loss,accuracy,f1,f1_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,hidden_dim,dropout_rate,learning_rate,seed,gamma,k_fold,model_id,k,input_dim
2,focal,0.6899628043174744,0.5838265263976733,[0.7926479  0.55646481 0.40236686],0.5415136100990432,0.6948198080062866,0.6032528594172398,[0.79348305 0.55569462 0.46058091],"[100, 100]",0.2,0.001,1,2,True,2.21,20,766
3,focal,0.6579925417900085,0.5970161926494507,[0.74873737 0.56386293 0.47844828],0.5657138664807592,0.6638513803482056,0.5932093917500904,[0.75984991 0.56662665 0.45315162],"[100, 100]",0.2,0.001,1,2,True,2.21,20,766
4,focal,0.664683997631073,0.5968363289355078,[0.7617284  0.52616279 0.5026178 ],0.5291794314980507,0.6852477192878723,0.6113766978649956,[0.77962963 0.56393443 0.49056604],"[100, 100]",0.2,0.001,1,2,True,2.21,20,766
0,focal,0.6631970405578613,0.5988489396747532,[0.76477987 0.52188552 0.50988142],0.5519656517675945,0.6509009003639221,0.5802492763958335,[0.75446849 0.53437095 0.4519084 ],"[100, 100]",0.2,0.001,12,2,True,2.21,20,766
1,focal,0.6862453818321228,0.589546882989506,[0.79137529 0.53770492 0.43956044],0.5198290997317859,0.6953828930854797,0.6099235418221569,[0.79094541 0.55502392 0.4838013 ],"[100, 100]",0.2,0.001,12,2,True,2.21,20,766
2,focal,0.6802973747253418,0.5826742374849085,[0.78351712 0.54761905 0.41688654],0.535062992147037,0.6925675868988037,0.6007000316694872,[0.7961165  0.54210526 0.46387833],"[100, 100]",0.2,0.001,12,2,True,2.21,20,766
3,focal,0.675836443901062,0.575743310333474,[0.78938257 0.48030019 0.45754717],0.5737733830298696,0.684684693813324,0.5796987409579581,[0.79616725 0.52432432 0.41860465],"[100, 100]",0.2,0.001,12,2,True,2.21,20,766
4,focal,0.6579925417900085,0.6036114935504221,[0.74436574 0.55495979 0.51150895],0.5315020510128566,0.6632882952690125,0.6044360889024113,[0.75546913 0.55186304 0.5059761 ],"[100, 100]",0.2,0.001,12,2,True,2.21,20,766
0,focal,0.6877323389053345,0.6182303402208479,[0.78606357 0.53921569 0.52941176],0.5333348725523267,0.6768018007278442,0.6007694892624945,[0.77481618 0.55542022 0.47207207],"[100, 100]",0.2,0.001,123,2,True,2.21,20,766
1,focal,0.692193329334259,0.6081446461174148,[0.79159159 0.56580938 0.46703297],0.5101091255034719,0.693130612373352,0.6166091208579753,[0.78607421 0.57430168 0.48945148],"[100, 100]",0.2,0.001,123,2,True,2.21,20,766
2,focal,0.6884758472442627,0.5893768833540337,[0.79176201 0.54311927 0.43324937],0.5460228430373328,0.6886261105537415,0.596021268434725,[0.79126638 0.52793296 0.46886447],"[100, 100]",0.2,0.001,123,2,True,2.21,20,766
3,focal,0.6780669093132019,0.5960667205148584,[0.77929804 0.54101222 0.46788991],0.5453849860600063,0.6779279112815857,0.5848215252973384,[0.7843486  0.54232804 0.42778793],"[100, 100]",0.2,0.001,123,2,True,2.21,20,766
4,focal,0.692193329334259,0.6017344244600237,[0.79494543 0.49825784 0.512     ],0.5375151921595845,0.6981981992721558,0.5987230753781397,[0.80136402 0.49793673 0.49686848],"[100, 100]",0.2,0.001,123,2,True,2.21,20,766
0,focal,0.6736059188842773,0.6038200007817641,[0.77819083 0.51741294 0.51585624],0.534642402614866,0.6587837934494019,0.5880374097722173,[0.75820056 0.54411765 0.46179402],"[100, 100]",0.2,0.001,1234,2,True,2.21,20,766
1,focal,0.6676579713821411,0.5824759902327735,[0.7853211  0.51077944 0.45132743],0.5152450874447823,0.681869387626648,0.6060530422727294,[0.78405931 0.55339806 0.48070175],"[100, 100]",0.2,0.001,1234,2,True,2.21,20,766
2,focal,0.6773234009742737,0.5860171022417789,[0.77948113 0.54812398 0.43044619],0.5409084696854863,0.6813063025474548,0.5963622642050598,[0.78350515 0.53521127 0.47037037],"[100, 100]",0.2,0.001,1234,2,True,2.21,20,766
3,focal,0.6639405488967896,0.5900185168190467,[0.76676923 0.52996845 0.47331787],0.5649457392948014,0.6593468189239502,0.5735418530502203,[0.76717381 0.53458382 0.41886792],"[100, 100]",0.2,0.001,1234,2,True,2.21,20,766
4,focal,0.6609665155410767,0.6040424769232153,[0.7525641  0.54748603 0.51207729],0.5336676995669093,0.6711711883544922,0.6097420378947119,[0.76231468 0.56034483 0.5065666 ],"[100, 100]",0.2,0.001,1234,2,True,2.21,20,766
0,focal,0.6624535322189331,0.6056853758186632,[0.75578406 0.5441989  0.51707317],0.5505686114941325,0.6463963985443115,0.5781145128835145,[0.74387314 0.53719008 0.45328032],"[100, 100]",0.2,0.0005,0,2,True,2.22,20,766
1,focal,0.6698884963989258,0.5932880502251037,[0.77606416 0.53943218 0.46436782],0.5120093865053994,0.6807432174682617,0.6093855477319726,[0.77710563 0.56103286 0.49001815],"[100, 100]",0.2,0.0005,0,2,True,2.22,20,766
